Epoch,Test Loss Val
0,0.6556
1,0.686
2,0.7535
3,0.7772
4,0.7802
5,0.7848
6,0.7856
7,0.7855
8,0.7829
9,0.7839
10,0.7866
11,0.7838
12,0.7846
13,0.7865
14,0.7844
15,0.7857
16,0.7835
17,0.7859
18,0.7869
19,0.7866
20,0.7878
21,0.7872
22,0.7882
23,0.7866
24,0.7854
25,0.7887
26,0.7869
27,0.7866
28,0.7867
29,0.7845
30,0.7861
31,0.787
32,0.7866
33,0.7864
34,0.7861
35,0.7866
36,0.7874
37,0.7909
38,0.7867
39,0.7867
40,0.7868
41,0.7849
42,0.789
43,0.7868
44,0.7878
45,0.7843
46,0.7863
47,0.7875
48,0.7854
49,0.7856
