Epoch,Test Loss Val
0,0.5474
1,0.5737
2,0.5756
3,0.6111
4,0.6635
5,0.7096
6,0.7595
7,0.7772
8,0.7832
9,0.7829
10,0.7855
11,0.7852
12,0.7847
13,0.7867
14,0.7874
15,0.7848
16,0.7858
17,0.7867
18,0.7873
19,0.7857
20,0.7861
21,0.7854
22,0.786
23,0.7862
24,0.7858
25,0.784
26,0.7863
27,0.7859
28,0.7877
29,0.7883
30,0.7868
31,0.7853
32,0.7857
33,0.7879
34,0.7878
35,0.7858
36,0.7907
37,0.7862
38,0.7865
39,0.7874
40,0.7852
41,0.7865
42,0.787
43,0.7873
44,0.7857
45,0.7847
46,0.7861
47,0.7877
48,0.7855
49,0.7878
