iter,accuracy
1,-0.0412
2,-0.0344
3,-0.0259
4,-0.0232
5,-0.0164
6,-0.0093
7,-0.0124
8,0.0014
9,0.0093
10,0.0129
11,0.0100
12,0.0201
13,0.0236
14,0.0284
15,0.0323
16,0.0351
17,0.0302
18,0.0403
19,0.0443
20,0.0450
21,0.0493
22,0.0251
23,0.0480
24,-0.2679
25,0.0559
26,0.0538
27,0.0603
28,0.0622
29,0.0629
30,0.0640
31,0.0656
32,0.0615
33,0.0694
34,0.0698
35,0.0620
36,0.0733
37,0.0682
38,0.0755
39,0.0749
40,0.0719
41,0.0779
42,0.0744
43,0.0781
44,0.0796
45,0.0771
46,0.0816
47,0.0821
48,0.0777
49,0.0836
50,0.0836
51,0.0851
52,0.0800
53,0.0724
54,0.0871
55,0.0882
56,0.0872
57,0.0890
58,0.0819
59,0.0900
60,0.0891
61,0.0896
62,0.0872
63,0.0916
64,0.0917
65,0.0906
66,0.0912
67,0.0925
68,0.0930
69,0.0929
70,0.0939
71,0.0900
72,0.0901
73,0.0936
74,0.0909
75,0.0954
76,0.0963
77,0.0968
78,0.0972
79,0.0937
80,0.0967
81,0.0972
82,0.0987
83,0.0991
84,0.0888
85,0.0997
86,0.1000
87,0.0968
88,0.0982
89,0.0982
90,0.1012
91,0.0990
92,0.0876
93,0.0979
94,0.1020
95,0.1021
96,0.1022
97,0.1027
98,0.1032
99,0.1033
100,0.1028
101,0.1039
102,0.1040
103,0.1043
104,0.1048
105,0.1052
106,0.1024
107,0.1040
108,0.1055
109,0.1051
110,0.1057
111,0.1044
112,0.1067
113,0.1064
114,0.1042
115,0.0594
116,0.0982
117,0.1038
118,0.1008
119,0.1074
120,0.0864
121,0.1079
122,0.1068
123,0.1039
124,0.1084
125,0.1087
126,0.1054
127,0.1065
128,0.1064
129,0.1095
130,0.1076
131,0.1101
132,0.1034
133,0.1092
134,0.1091
135,0.1107
136,0.1111
137,0.1104
138,0.1115
139,0.0975
140,0.1117
141,0.1116
142,0.1095
143,0.1086
144,0.1126
145,0.1123
146,0.1129
147,0.1114
148,0.1130
149,0.1133
150,0.1104
151,0.1133
152,0.1138
153,0.1141
154,0.1142
155,0.1128
156,0.1146
157,0.1147
158,0.0004
159,0.1148
160,0.1104
161,0.1148
162,0.1104
163,0.1133
164,0.0118
165,0.1148
166,0.1149
167,0.1157
168,0.1143
169,0.1159
170,0.1161
171,0.1162
172,0.1088
173,0.1159
174,0.1167
175,0.1162
176,0.1170
177,0.1166
178,0.1172
179,0.1153
180,0.1170
181,0.1110
182,0.1086
183,0.1179
184,0.0943
185,0.1126
186,0.1181
187,0.1041
188,0.1184
189,0.1164
190,0.1187
191,0.1120
192,0.1186
193,0.1189
194,0.0896
195,0.1182
196,0.1171
197,0.1177
198,0.1189
199,0.1172
200,0.1194
201,0.1196
202,0.1186
203,0.1198
204,0.1150
205,0.1171
206,0.1179
207,0.1199
208,0.1198
209,0.1132
210,0.1206
211,0.1191
212,0.1207
213,0.1172
214,0.1195
215,0.1176
216,0.1163
217,0.1210
218,0.1198
219,0.1180
220,0.1198
221,0.1213
222,0.1205
223,0.1216
224,0.1096
225,0.1204
226,0.1216
227,0.1197
228,0.1214
229,0.1214
230,0.1220
231,0.1210
232,0.1211
233,0.1225
234,0.1222
235,0.1215
236,0.1196
237,0.1226
238,0.1152
239,0.1217
240,0.1223
241,0.1231
242,0.1230
243,0.1227
244,0.1232
245,0.1199
246,0.1190
247,0.1232
248,0.1219
249,0.1204
250,0.1192
251,0.1236
252,0.1240
253,0.1239
254,0.1239
255,0.1213
256,0.1240
257,0.1241
258,0.1244
259,0.1194
260,0.1237
261,0.1237
262,0.1246
263,0.1219
264,0.1220
265,0.1201
266,0.1133
267,0.1251
268,0.1229
269,0.1245
270,0.1243
271,0.1231
272,0.1244
273,0.1257
274,0.1243
275,0.1248
276,0.1187
277,0.1250
278,0.1221
279,0.1251
280,0.1249
281,0.1255
282,0.1239
283,0.1099
284,0.1238
285,0.1219
286,0.1244
287,0.1254
288,0.1186
289,0.1224
290,0.1259
291,0.1260
292,0.1155
293,0.1258
294,0.1263
295,0.1263
296,0.1255
297,0.1266
298,0.1255
299,0.1256
300,0.1232
301,0.1268
302,0.1239
303,0.1210
304,0.1240
305,0.1269
306,0.1245
307,0.1240
308,0.1263
309,0.1260
310,0.1189
311,0.1270
312,0.1149
313,0.1261
314,0.0931
315,0.1270
316,0.1270
317,0.1271
318,0.1267
319,0.1243
320,0.1271
321,0.1197
322,0.1266
323,0.1259
324,0.1276
325,0.1218
326,0.1248
327,0.1276
328,0.1278
329,0.1079
330,0.1278
331,0.1279
332,0.1278
333,0.1282
334,0.1262
335,0.1280
336,0.1278
337,-0.0260
338,0.1224
339,0.1229
340,0.1282
341,0.1274
342,0.1282
343,0.1240
344,0.1286
345,0.1263
346,0.1287
347,0.1286
348,0.1274
349,0.1281
350,0.1277
351,0.1285
352,0.1269
353,0.1290
354,0.1291
355,0.0688
356,0.1270
357,0.1276
358,0.1283
359,0.1289
360,0.1277
361,0.1291
362,0.1292
363,0.1138
364,0.1176
365,0.1233
366,0.1291
367,0.1291
368,0.1284
369,0.1286
370,0.1287
371,0.1284
372,0.1286
373,0.1287
374,0.1297
375,0.1289
376,0.1261
377,0.1281
378,0.1126
379,0.1242
380,0.1280
381,0.1288
382,0.1286
383,0.1293
384,0.1284
385,0.1283
386,0.1290
387,0.1279
388,0.1239
389,0.1292
390,0.1204
391,0.1223
392,0.1240
393,0.1278
394,0.1271
395,0.1300
396,0.1297
397,0.1300
398,0.1302
399,0.1288
400,0.1297
401,0.1291
402,0.1267
403,0.1293
404,0.1299
405,0.1276
406,0.1169
407,0.0648
408,0.1300
409,0.1209
410,0.1294
411,0.1284
412,0.1221
413,0.1297
414,0.1296
