iter,accuracy
1,0.1156
2,0.1519
3,0.1740
4,0.1987
5,0.2137
6,0.2416
7,0.2531
8,0.2634
9,0.2722
10,0.2738
11,0.2820
12,0.2821
13,0.2839
14,0.2886
15,0.2897
16,0.2904
17,0.2951
18,0.2944
19,0.2932
20,0.2964
21,0.2954
22,0.2967
23,0.2932
24,0.2948
25,0.2970
26,0.2982
27,0.2973
28,0.2944
29,0.2972
30,0.2983
31,0.2908
32,0.2974
33,0.2976
34,0.2988
35,0.2991
36,0.2992
37,0.2977
38,0.2984
39,0.2994
40,0.2989
41,0.2912
42,0.2994
43,0.2993
44,0.2993
45,0.2977
46,0.2988
47,0.2979
48,0.2987
49,0.2993
50,0.2990
51,0.2986
52,0.2992
53,0.2996
54,0.2977
55,0.2996
56,0.2990
57,0.2998
58,0.2998
59,0.2973
60,0.2943
61,0.2991
62,0.2994
63,0.2993
64,0.2844
65,0.2999
66,0.3000
67,0.3000
68,0.2987
69,0.3000
70,0.3001
71,0.2998
72,0.2988
73,0.2999
74,0.2998
75,0.2981
76,0.2992
77,0.2996
78,0.2998
79,0.2995
80,0.3001
81,0.2999
82,0.2995
83,0.2975
84,0.2999
85,0.2998
86,0.2995
87,0.2968
88,0.3002
89,0.3002
90,0.3000
91,0.3002
92,0.3001
93,0.2997
94,0.2998
95,0.2986
96,0.3001
97,0.3000
98,0.3001
99,0.2984
100,0.2991
101,0.3001
102,0.3002
103,0.2162
104,0.2944
105,0.3001
106,0.3001
107,0.3002
108,0.2996
109,0.3000
110,0.3000
111,0.3003
112,0.3001
113,0.3002
114,0.3003
115,0.2979
116,0.2987
117,0.3001
118,0.3000
119,0.2999
120,0.3000
121,0.2998
122,0.2996
123,0.2993
124,0.3000
125,0.2991
126,0.2997
127,0.3003
128,0.2988
129,0.3000
130,0.2998
131,0.2993
132,0.3000
133,0.3000
134,0.3001
135,0.2990
136,0.3003
137,0.2997
138,0.2940
139,0.3004
140,0.3005
141,0.2998
142,0.3001
143,0.2986
144,0.2975
145,0.3004
146,0.2987
147,0.2989
148,0.2989
149,0.2998
150,0.2991
151,0.2991
152,0.2995
153,0.2953
154,0.2974
155,0.3001
156,0.2990
157,0.3003
158,0.3000
159,0.2940
160,0.3003
161,0.3004
162,-0.0363
163,0.2985
164,0.2987
165,0.2984
166,0.2975
167,0.0669
168,0.2935
169,0.2957
170,0.2968
171,0.2946
172,0.2985
173,0.2989
174,0.2979
175,0.2995
176,0.2992
177,0.2996
178,0.2997
179,0.2998
180,0.2997
181,0.2967
182,0.2999
