iter,accuracy
1,0.0420
2,0.0669
3,0.1050
4,0.1341
5,0.1350
6,0.1823
7,0.2066
8,0.2070
9,0.2413
10,0.2668
11,0.2854
12,0.3034
13,0.3196
14,0.3353
15,0.3527
16,0.3637
17,0.3813
18,0.3789
19,0.3979
20,0.4172
21,0.4305
22,0.4416
23,0.4378
24,0.4538
25,0.4682
26,0.4763
27,0.4864
28,0.4913
29,0.5033
30,0.5037
31,0.5093
32,0.5247
33,0.5313
34,0.5364
35,0.5462
36,0.5494
37,0.5546
38,0.5610
39,0.5703
40,0.5736
41,0.5819
42,0.5849
43,0.5922
44,0.5974
45,0.6020
46,0.6039
47,0.6078
48,0.6129
49,0.6024
50,0.6207
51,0.6247
52,0.6276
53,0.6325
54,0.6357
55,0.6389
56,0.6396
57,0.6438
58,0.6452
59,0.6522
60,0.6516
61,0.6502
62,0.6566
63,0.6579
64,0.6662
65,0.6633
66,0.6712
67,0.6704
68,0.6729
69,0.6771
70,0.6790
71,0.6801
72,0.6817
73,0.6861
74,0.6872
75,0.6885
76,0.6912
77,0.6932
78,0.6893
79,0.6832
80,0.6899
81,0.6999
82,0.6997
83,0.7031
84,0.6861
85,0.7036
86,0.7069
87,0.7056
88,0.7097
89,0.7103
90,0.7128
91,0.7139
92,0.7141
93,0.7132
94,0.7167
95,0.7178
96,0.7190
97,0.7165
98,0.7162
99,0.7166
100,0.7222
101,0.7234
102,0.7238
103,0.7253
104,0.7237
105,0.7232
106,0.7256
107,0.7263
108,0.7293
109,0.7309
110,0.7264
111,0.7305
112,0.7324
113,0.7272
114,0.7340
115,0.7343
116,0.7343
117,0.7357
118,0.7303
119,0.7373
120,0.7378
121,0.7317
122,0.7379
123,0.7367
124,0.7372
125,0.7389
126,0.7352
127,0.7332
128,0.7421
129,0.7425
130,0.7387
131,0.7409
132,0.7324
133,0.7441
134,0.7441
135,0.7430
136,0.7426
137,0.7420
138,0.7391
139,0.7468
140,0.7463
141,0.7467
142,0.7464
143,0.7454
144,0.7484
145,0.7489
146,0.7481
147,0.7492
148,0.7499
149,0.7460
150,0.7462
151,0.7489
152,0.7487
153,0.7508
154,0.7486
155,0.7492
156,0.7519
157,0.7460
158,0.7474
159,0.7528
160,0.7518
161,0.7517
162,0.7521
163,0.7538
164,0.7540
165,0.7543
166,0.7544
167,0.7547
168,0.7540
169,0.7552
170,0.7536
171,0.7499
172,0.7555
173,0.7518
174,0.7561
175,0.7551
176,0.7526
177,0.7560
178,0.7554
179,0.7556
180,0.7562
181,0.7485
182,0.7535
183,0.7562
184,0.7536
185,0.7536
186,0.7557
187,0.7572
188,0.7565
189,0.7583
190,0.7575
191,0.7556
192,0.7561
193,0.7573
194,0.7579
195,0.7592
196,0.7591
197,0.7567
198,0.7562
199,0.7583
200,0.7599
201,0.7601
202,0.7602
203,0.7589
204,0.7604
205,0.7590
206,0.7607
207,0.7597
208,0.7601
209,0.7610
210,0.7604
211,0.7613
212,0.7586
213,0.7614
214,0.7615
215,0.7535
216,0.7519
217,0.7616
218,0.7601
219,0.7619
220,0.7610
221,0.7593
222,0.7611
223,0.7611
224,0.7620
225,0.7623
226,0.7623
227,0.7618
228,0.7626
229,0.7626
230,0.7583
231,0.7624
232,0.7631
233,0.7625
234,0.7628
235,0.7632
236,0.7622
237,0.7633
