Data Path: ../data-firm/atarget.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 10.669 | Moving average: 10.669
Iteration: 1 (200 steps) - Average rewards across episodes: 11.821 | Moving average: 11.245
Iteration: 2 (200 steps) - Average rewards across episodes: 13.495 | Moving average: 11.995
Iteration: 3 (200 steps) - Average rewards across episodes: 14.896 | Moving average: 12.72
Iteration: 4 (200 steps) - Average rewards across episodes: 15.927 | Moving average: 13.362
Iteration: 5 (200 steps) - Average rewards across episodes: 11.195 | Moving average: 13.0
Iteration: 6 (200 steps) - Average rewards across episodes: 19.016 | Moving average: 13.86
Iteration: 7 (200 steps) - Average rewards across episodes: 20.135 | Moving average: 14.644
Iteration: 8 (200 steps) - Average rewards across episodes: 19.953 | Moving average: 15.234
Iteration: 9 (200 steps) - Average rewards across episodes: 22.058 | Moving average: 15.916
Iteration: 10 (200 steps) - Average rewards across episodes: 20.377 | Moving average: 16.887
Iteration: 11 (200 steps) - Average rewards across episodes: 23.317 | Moving average: 18.037
Iteration: 12 (200 steps) - Average rewards across episodes: 18.848 | Moving average: 18.572
Iteration: 13 (200 steps) - Average rewards across episodes: 20.925 | Moving average: 19.175
Iteration: 14 (200 steps) - Average rewards across episodes: 16.754 | Moving average: 19.258
Iteration: 15 (200 steps) - Average rewards across episodes: 18.649 | Moving average: 20.003
Iteration: 16 (200 steps) - Average rewards across episodes: 15.819 | Moving average: 19.683
Iteration: 17 (200 steps) - Average rewards across episodes: 15.95 | Moving average: 19.265
Iteration: 18 (200 steps) - Average rewards across episodes: 15.668 | Moving average: 18.836
Iteration: 19 (200 steps) - Average rewards across episodes: 15.007 | Moving average: 18.131
Iteration: 20 (200 steps) - Average rewards across episodes: 13.8 | Moving average: 17.474
Iteration: 21 (200 steps) - Average rewards across episodes: 16.114 | Moving average: 16.753
Iteration: 22 (200 steps) - Average rewards across episodes: 16.28 | Moving average: 16.496
Iteration: 23 (200 steps) - Average rewards across episodes: 16.943 | Moving average: 16.098
Iteration: 24 (200 steps) - Average rewards across episodes: 15.926 | Moving average: 16.016
Iteration: 25 (200 steps) - Average rewards across episodes: 17.636 | Moving average: 15.914
Iteration: 26 (200 steps) - Average rewards across episodes: 16.813 | Moving average: 16.014
Iteration: 27 (200 steps) - Average rewards across episodes: 17.332 | Moving average: 16.152
Iteration: 28 (200 steps) - Average rewards across episodes: 18.375 | Moving average: 16.423
Iteration: 29 (200 steps) - Average rewards across episodes: 15.913 | Moving average: 16.513
Iteration: 30 (200 steps) - Average rewards across episodes: 20.725 | Moving average: 17.206
Iteration: 31 (200 steps) - Average rewards across episodes: 22.915 | Moving average: 17.886
Iteration: 32 (200 steps) - Average rewards across episodes: 21.758 | Moving average: 18.434
Iteration: 33 (200 steps) - Average rewards across episodes: 22.923 | Moving average: 19.032
Iteration: 34 (200 steps) - Average rewards across episodes: 23.428 | Moving average: 19.782
Iteration: 35 (200 steps) - Average rewards across episodes: 24.086 | Moving average: 20.427
Iteration: 36 (200 steps) - Average rewards across episodes: 23.134 | Moving average: 21.059
Iteration: 37 (200 steps) - Average rewards across episodes: 23.024 | Moving average: 21.628
Iteration: 38 (200 steps) - Average rewards across episodes: 22.318 | Moving average: 22.023
Iteration: 39 (200 steps) - Average rewards across episodes: 24.312 | Moving average: 22.862
Iteration: 40 (200 steps) - Average rewards across episodes: 23.631 | Moving average: 23.153
Iteration: 41 (200 steps) - Average rewards across episodes: 24.247 | Moving average: 23.286
Iteration: 42 (200 steps) - Average rewards across episodes: 25.091 | Moving average: 23.619
Iteration: 43 (200 steps) - Average rewards across episodes: 25.292 | Moving average: 23.856
Iteration: 44 (200 steps) - Average rewards across episodes: 25.292 | Moving average: 24.043
Iteration: 45 (200 steps) - Average rewards across episodes: 24.529 | Moving average: 24.087
Iteration: 46 (200 steps) - Average rewards across episodes: 24.663 | Moving average: 24.24
Iteration: 47 (200 steps) - Average rewards across episodes: 24.873 | Moving average: 24.425
Iteration: 48 (200 steps) - Average rewards across episodes: 23.545 | Moving average: 24.547
Iteration: 49 (200 steps) - Average rewards across episodes: 24.865 | Moving average: 24.603
Iteration: 50 (200 steps) - Average rewards across episodes: 25.427 | Moving average: 24.783
Iteration: 51 (200 steps) - Average rewards across episodes: 24.405 | Moving average: 24.798
Iteration: 52 (200 steps) - Average rewards across episodes: 23.254 | Moving average: 24.615
Iteration: 53 (200 steps) - Average rewards across episodes: 24.5 | Moving average: 24.535
Iteration: 54 (200 steps) - Average rewards across episodes: 24.661 | Moving average: 24.472
Iteration: 55 (200 steps) - Average rewards across episodes: 24.304 | Moving average: 24.45
Iteration: 56 (200 steps) - Average rewards across episodes: 17.897 | Moving average: 23.773
Iteration: 57 (200 steps) - Average rewards across episodes: 18.12 | Moving average: 23.098
Iteration: 58 (200 steps) - Average rewards across episodes: 21.203 | Moving average: 22.864
Iteration: 59 (200 steps) - Average rewards across episodes: 18.354 | Moving average: 22.212
Iteration: 60 (200 steps) - Average rewards across episodes: 19.99 | Moving average: 21.669
Iteration: 61 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 21.78
Iteration: 62 (200 steps) - Average rewards across episodes: 24.371 | Moving average: 21.892
Iteration: 63 (200 steps) - Average rewards across episodes: 24.71 | Moving average: 21.913
Iteration: 64 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 21.922
Iteration: 65 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 21.967
Iteration: 66 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 22.653
Iteration: 67 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 23.316
Iteration: 68 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 23.71
Iteration: 69 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 24.426
Iteration: 70 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 24.903
Iteration: 71 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 24.864
Iteration: 72 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 24.979
Iteration: 73 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.022
Iteration: 74 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 75 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 76 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.06
Iteration: 77 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.098
Iteration: 78 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.098
Iteration: 79 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 80 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 25.098
Iteration: 81 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.098
Iteration: 82 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 83 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 25.06
Iteration: 84 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.06
Iteration: 85 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.06
Iteration: 86 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 87 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.022
Iteration: 88 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.022
Iteration: 89 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 25.022
Iteration: 90 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 24.945
Iteration: 91 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 24.945
Iteration: 92 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 24.984
Iteration: 93 (200 steps) - Average rewards across episodes: 24.755 | Moving average: 24.907
Iteration: 94 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 24.984
Iteration: 95 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.022
Iteration: 96 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 25.098
Iteration: 97 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.098
Iteration: 98 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 25.098
Iteration: 99 (200 steps) - Average rewards across episodes: 25.518 | Moving average: 25.174
