Data Path: ../data-firm/compress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 26.075 | Moving average: 26.075
Iteration: 1 (200 steps) - Average rewards across episodes: 27.228 | Moving average: 26.651
Iteration: 2 (200 steps) - Average rewards across episodes: 26.757 | Moving average: 26.687
Iteration: 3 (200 steps) - Average rewards across episodes: 28.851 | Moving average: 27.228
Iteration: 4 (200 steps) - Average rewards across episodes: 23.718 | Moving average: 26.526
Iteration: 5 (200 steps) - Average rewards across episodes: 22.577 | Moving average: 25.868
Iteration: 6 (200 steps) - Average rewards across episodes: 28.865 | Moving average: 26.296
Iteration: 7 (200 steps) - Average rewards across episodes: 28.284 | Moving average: 26.544
Iteration: 8 (200 steps) - Average rewards across episodes: 32.327 | Moving average: 27.187
Iteration: 9 (200 steps) - Average rewards across episodes: 28.001 | Moving average: 27.268
Iteration: 10 (200 steps) - Average rewards across episodes: 26.436 | Moving average: 27.304
Iteration: 11 (200 steps) - Average rewards across episodes: 33.718 | Moving average: 27.953
Iteration: 12 (200 steps) - Average rewards across episodes: 28.662 | Moving average: 28.144
Iteration: 13 (200 steps) - Average rewards across episodes: 32.251 | Moving average: 28.484
Iteration: 14 (200 steps) - Average rewards across episodes: 30.781 | Moving average: 29.19
Iteration: 15 (200 steps) - Average rewards across episodes: 34.742 | Moving average: 30.407
Iteration: 16 (200 steps) - Average rewards across episodes: 34.838 | Moving average: 31.004
Iteration: 17 (200 steps) - Average rewards across episodes: 32.752 | Moving average: 31.451
Iteration: 18 (200 steps) - Average rewards across episodes: 35.325 | Moving average: 31.751
Iteration: 19 (200 steps) - Average rewards across episodes: 34.607 | Moving average: 32.411
Iteration: 20 (200 steps) - Average rewards across episodes: 33.159 | Moving average: 33.083
Iteration: 21 (200 steps) - Average rewards across episodes: 34.368 | Moving average: 33.148
Iteration: 22 (200 steps) - Average rewards across episodes: 34.239 | Moving average: 33.706
Iteration: 23 (200 steps) - Average rewards across episodes: 32.134 | Moving average: 33.694
Iteration: 24 (200 steps) - Average rewards across episodes: 32.134 | Moving average: 33.83
Iteration: 25 (200 steps) - Average rewards across episodes: 31.664 | Moving average: 33.522
Iteration: 26 (200 steps) - Average rewards across episodes: 34.002 | Moving average: 33.438
Iteration: 27 (200 steps) - Average rewards across episodes: 33.557 | Moving average: 33.519
Iteration: 28 (200 steps) - Average rewards across episodes: 35.067 | Moving average: 33.493
Iteration: 29 (200 steps) - Average rewards across episodes: 35.1 | Moving average: 33.542
Iteration: 30 (200 steps) - Average rewards across episodes: 33.826 | Moving average: 33.609
Iteration: 31 (200 steps) - Average rewards across episodes: 34.803 | Moving average: 33.653
Iteration: 32 (200 steps) - Average rewards across episodes: 35.131 | Moving average: 33.742
Iteration: 33 (200 steps) - Average rewards across episodes: 34.994 | Moving average: 34.028
