Data Path: ../data-firm/decompress_compress_decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 17.527 | Moving average: 17.527
Iteration: 1 (200 steps) - Average rewards across episodes: 20.177 | Moving average: 18.852
Iteration: 2 (200 steps) - Average rewards across episodes: 13.615 | Moving average: 17.106
Iteration: 3 (200 steps) - Average rewards across episodes: 23.016 | Moving average: 18.584
Iteration: 4 (200 steps) - Average rewards across episodes: 23.895 | Moving average: 19.646
Iteration: 5 (200 steps) - Average rewards across episodes: 24.752 | Moving average: 20.497
Iteration: 6 (200 steps) - Average rewards across episodes: 26.857 | Moving average: 21.406
Iteration: 7 (200 steps) - Average rewards across episodes: 27.011 | Moving average: 22.106
Iteration: 8 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 22.702
Iteration: 9 (200 steps) - Average rewards across episodes: 27.434 | Moving average: 23.175
Iteration: 10 (200 steps) - Average rewards across episodes: 27.046 | Moving average: 24.127
Iteration: 11 (200 steps) - Average rewards across episodes: 27.434 | Moving average: 24.852
Iteration: 12 (200 steps) - Average rewards across episodes: 26.583 | Moving average: 26.149
Iteration: 13 (200 steps) - Average rewards across episodes: 26.621 | Moving average: 26.51
Iteration: 14 (200 steps) - Average rewards across episodes: 27.008 | Moving average: 26.821
Iteration: 15 (200 steps) - Average rewards across episodes: 25.649 | Moving average: 26.911
Iteration: 16 (200 steps) - Average rewards across episodes: 26.07 | Moving average: 26.832
Iteration: 17 (200 steps) - Average rewards across episodes: 27.123 | Moving average: 26.843
Iteration: 18 (200 steps) - Average rewards across episodes: 26.492 | Moving average: 26.746
Iteration: 19 (200 steps) - Average rewards across episodes: 25.762 | Moving average: 26.579
Iteration: 20 (200 steps) - Average rewards across episodes: 27.008 | Moving average: 26.575
Iteration: 21 (200 steps) - Average rewards across episodes: 27.434 | Moving average: 26.575
Iteration: 22 (200 steps) - Average rewards across episodes: 26.604 | Moving average: 26.577
Iteration: 23 (200 steps) - Average rewards across episodes: 26.651 | Moving average: 26.58
Iteration: 24 (200 steps) - Average rewards across episodes: 27.039 | Moving average: 26.583
Iteration: 25 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 26.804
Iteration: 26 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 26.983
Iteration: 27 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.057
Iteration: 28 (200 steps) - Average rewards across episodes: 27.829 | Moving average: 27.19
Iteration: 29 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.44
Iteration: 30 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.485
Iteration: 31 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.488
Iteration: 32 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.614
Iteration: 33 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.735
Iteration: 34 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.817
Iteration: 35 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.777
Iteration: 36 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.777
Iteration: 37 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.738
Iteration: 38 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.701
Iteration: 39 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.622
Iteration: 40 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.701
Iteration: 41 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.741
Iteration: 42 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.741
Iteration: 43 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.741
Iteration: 44 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.78
Iteration: 45 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.82
Iteration: 46 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.82
Iteration: 47 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.82
Iteration: 48 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.82
Iteration: 49 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.82
Iteration: 50 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.82
Iteration: 51 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.82
Iteration: 52 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.82
Iteration: 53 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.78
Iteration: 54 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.701
Iteration: 55 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.701
Iteration: 56 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.662
Iteration: 57 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.741
Iteration: 58 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.741
Iteration: 59 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.741
Iteration: 60 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.662
Iteration: 61 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.662
Iteration: 62 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.622
Iteration: 63 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.662
Iteration: 64 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.662
Iteration: 65 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.662
Iteration: 66 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.662
Iteration: 67 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.622
Iteration: 68 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.662
Iteration: 69 (200 steps) - Average rewards across episodes: 27.059 | Moving average: 27.621
Iteration: 70 (200 steps) - Average rewards across episodes: 27.472 | Moving average: 27.622
Iteration: 71 (200 steps) - Average rewards across episodes: 27.059 | Moving average: 27.542
Iteration: 72 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.542
Iteration: 73 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.542
Iteration: 74 (200 steps) - Average rewards across episodes: 27.434 | Moving average: 27.539
Iteration: 75 (200 steps) - Average rewards across episodes: 27.464 | Moving average: 27.499
Iteration: 76 (200 steps) - Average rewards across episodes: 27.85 | Moving average: 27.538
Iteration: 77 (200 steps) - Average rewards across episodes: 28.254 | Moving average: 27.577
Iteration: 78 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.577
Iteration: 79 (200 steps) - Average rewards across episodes: 27.859 | Moving average: 27.657
