Data Path: ../data-firm/decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 23.287 | Moving average: 23.287
Iteration: 1 (200 steps) - Average rewards across episodes: 27.329 | Moving average: 25.308
Iteration: 2 (200 steps) - Average rewards across episodes: 32.099 | Moving average: 27.572
Iteration: 3 (200 steps) - Average rewards across episodes: 28.42 | Moving average: 27.784
Iteration: 4 (200 steps) - Average rewards across episodes: 30.022 | Moving average: 28.231
Iteration: 5 (200 steps) - Average rewards across episodes: 30.179 | Moving average: 28.556
Iteration: 6 (200 steps) - Average rewards across episodes: 28.416 | Moving average: 28.536
Iteration: 7 (200 steps) - Average rewards across episodes: 30.087 | Moving average: 28.73
Iteration: 8 (200 steps) - Average rewards across episodes: 30.858 | Moving average: 28.967
Iteration: 9 (200 steps) - Average rewards across episodes: 32.975 | Moving average: 29.367
Iteration: 10 (200 steps) - Average rewards across episodes: 29.455 | Moving average: 29.984
Iteration: 11 (200 steps) - Average rewards across episodes: 25.492 | Moving average: 29.8
Iteration: 12 (200 steps) - Average rewards across episodes: 32.441 | Moving average: 29.835
Iteration: 13 (200 steps) - Average rewards across episodes: 35.514 | Moving average: 30.544
Iteration: 14 (200 steps) - Average rewards across episodes: 35.152 | Moving average: 31.057
Iteration: 15 (200 steps) - Average rewards across episodes: 26.193 | Moving average: 30.658
Iteration: 16 (200 steps) - Average rewards across episodes: 27.915 | Moving average: 30.608
Iteration: 17 (200 steps) - Average rewards across episodes: 27.586 | Moving average: 30.358
Iteration: 18 (200 steps) - Average rewards across episodes: 30.133 | Moving average: 30.286
Iteration: 19 (200 steps) - Average rewards across episodes: 35.039 | Moving average: 30.492
Iteration: 20 (200 steps) - Average rewards across episodes: 35.676 | Moving average: 31.114
Iteration: 21 (200 steps) - Average rewards across episodes: 36.004 | Moving average: 32.165
Iteration: 22 (200 steps) - Average rewards across episodes: 33.668 | Moving average: 32.288
Iteration: 23 (200 steps) - Average rewards across episodes: 34.249 | Moving average: 32.162
Iteration: 24 (200 steps) - Average rewards across episodes: 33.553 | Moving average: 32.002
Iteration: 25 (200 steps) - Average rewards across episodes: 35.484 | Moving average: 32.931
Iteration: 26 (200 steps) - Average rewards across episodes: 35.039 | Moving average: 33.643
Iteration: 27 (200 steps) - Average rewards across episodes: 36.023 | Moving average: 34.487
Iteration: 28 (200 steps) - Average rewards across episodes: 35.966 | Moving average: 35.07
Iteration: 29 (200 steps) - Average rewards across episodes: 36.564 | Moving average: 35.223
Iteration: 30 (200 steps) - Average rewards across episodes: 36.39 | Moving average: 35.294
Iteration: 31 (200 steps) - Average rewards across episodes: 36.487 | Moving average: 35.342
Iteration: 32 (200 steps) - Average rewards across episodes: 37.954 | Moving average: 35.771
Iteration: 33 (200 steps) - Average rewards across episodes: 37.8 | Moving average: 36.126
Iteration: 34 (200 steps) - Average rewards across episodes: 36.545 | Moving average: 36.425
Iteration: 35 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 36.583
Iteration: 36 (200 steps) - Average rewards across episodes: 35.541 | Moving average: 36.634
Iteration: 37 (200 steps) - Average rewards across episodes: 37.066 | Moving average: 36.738
