Data Path: ../data-firm/imagecompress_sleep_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 32.411 | Moving average: 32.411
Iteration: 1 (200 steps) - Average rewards across episodes: 39.039 | Moving average: 35.725
Iteration: 2 (200 steps) - Average rewards across episodes: 37.526 | Moving average: 36.325
Iteration: 3 (200 steps) - Average rewards across episodes: 40.88 | Moving average: 37.464
Iteration: 4 (200 steps) - Average rewards across episodes: 38.591 | Moving average: 37.689
Iteration: 5 (200 steps) - Average rewards across episodes: 38.579 | Moving average: 37.838
Iteration: 6 (200 steps) - Average rewards across episodes: 39.562 | Moving average: 38.084
Iteration: 7 (200 steps) - Average rewards across episodes: 39.081 | Moving average: 38.209
Iteration: 8 (200 steps) - Average rewards across episodes: 38.223 | Moving average: 38.21
Iteration: 9 (200 steps) - Average rewards across episodes: 38.196 | Moving average: 38.209
Iteration: 10 (200 steps) - Average rewards across episodes: 39.641 | Moving average: 38.932
Iteration: 11 (200 steps) - Average rewards across episodes: 39.716 | Moving average: 39.0
Iteration: 12 (200 steps) - Average rewards across episodes: 38.205 | Moving average: 39.068
Iteration: 13 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 38.836
Iteration: 14 (200 steps) - Average rewards across episodes: 32.994 | Moving average: 38.277
Iteration: 15 (200 steps) - Average rewards across episodes: 38.229 | Moving average: 38.242
Iteration: 16 (200 steps) - Average rewards across episodes: 41.123 | Moving average: 38.398
Iteration: 17 (200 steps) - Average rewards across episodes: 40.64 | Moving average: 38.554
Iteration: 18 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 38.894
Iteration: 19 (200 steps) - Average rewards across episodes: 41.135 | Moving average: 39.188
Iteration: 20 (200 steps) - Average rewards across episodes: 40.67 | Moving average: 39.291
Iteration: 21 (200 steps) - Average rewards across episodes: 41.142 | Moving average: 39.433
Iteration: 22 (200 steps) - Average rewards across episodes: 41.147 | Moving average: 39.727
Iteration: 23 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 39.939
Iteration: 24 (200 steps) - Average rewards across episodes: 39.721 | Moving average: 40.612
Iteration: 25 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.905
Iteration: 26 (200 steps) - Average rewards across episodes: 40.658 | Moving average: 40.858
Iteration: 27 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 40.862
Iteration: 28 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.862
Iteration: 29 (200 steps) - Average rewards across episodes: 39.74 | Moving average: 40.723
Iteration: 30 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.818
Iteration: 31 (200 steps) - Average rewards across episodes: 41.124 | Moving average: 40.816
Iteration: 32 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.864
Iteration: 33 (200 steps) - Average rewards across episodes: 42.09 | Moving average: 41.005
Iteration: 34 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.195
Iteration: 35 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 41.242
Iteration: 36 (200 steps) - Average rewards across episodes: 40.671 | Moving average: 41.243
Iteration: 37 (200 steps) - Average rewards across episodes: 39.25 | Moving average: 41.1
Iteration: 38 (200 steps) - Average rewards across episodes: 41.123 | Moving average: 41.05
Iteration: 39 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 41.144
Iteration: 40 (200 steps) - Average rewards across episodes: 33.977 | Moving average: 40.379
Iteration: 41 (200 steps) - Average rewards across episodes: 40.205 | Moving average: 40.287
Iteration: 42 (200 steps) - Average rewards across episodes: 37.842 | Moving average: 39.909
Iteration: 43 (200 steps) - Average rewards across episodes: 36.397 | Moving average: 39.34
Iteration: 44 (200 steps) - Average rewards across episodes: 36.404 | Moving average: 38.818
Iteration: 45 (200 steps) - Average rewards across episodes: 37.793 | Moving average: 38.434
Iteration: 46 (200 steps) - Average rewards across episodes: 36.401 | Moving average: 38.007
Iteration: 47 (200 steps) - Average rewards across episodes: 35.877 | Moving average: 37.67
Iteration: 48 (200 steps) - Average rewards across episodes: 32.147 | Moving average: 36.772
Iteration: 49 (200 steps) - Average rewards across episodes: 34.482 | Moving average: 36.152
Iteration: 50 (200 steps) - Average rewards across episodes: 35.471 | Moving average: 36.302
Iteration: 51 (200 steps) - Average rewards across episodes: 37.235 | Moving average: 36.005
Iteration: 52 (200 steps) - Average rewards across episodes: 38.278 | Moving average: 36.048
Iteration: 53 (200 steps) - Average rewards across episodes: 38.299 | Moving average: 36.239
Iteration: 54 (200 steps) - Average rewards across episodes: 40.67 | Moving average: 36.665
Iteration: 55 (200 steps) - Average rewards across episodes: 37.753 | Moving average: 36.661
Iteration: 56 (200 steps) - Average rewards across episodes: 36.871 | Moving average: 36.708
Iteration: 57 (200 steps) - Average rewards across episodes: 35.945 | Moving average: 36.715
Iteration: 58 (200 steps) - Average rewards across episodes: 40.662 | Moving average: 37.567
Iteration: 59 (200 steps) - Average rewards across episodes: 39.233 | Moving average: 38.042
Iteration: 60 (200 steps) - Average rewards across episodes: 38.273 | Moving average: 38.322
Iteration: 61 (200 steps) - Average rewards across episodes: 39.241 | Moving average: 38.523
Iteration: 62 (200 steps) - Average rewards across episodes: 38.723 | Moving average: 38.567
Iteration: 63 (200 steps) - Average rewards across episodes: 39.732 | Moving average: 38.71
Iteration: 64 (200 steps) - Average rewards across episodes: 39.279 | Moving average: 38.571
Iteration: 65 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 38.959
Iteration: 66 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 39.34
Iteration: 67 (200 steps) - Average rewards across episodes: 42.555 | Moving average: 40.001
Iteration: 68 (200 steps) - Average rewards across episodes: 38.749 | Moving average: 39.809
Iteration: 69 (200 steps) - Average rewards across episodes: 39.727 | Moving average: 39.859
Iteration: 70 (200 steps) - Average rewards across episodes: 40.658 | Moving average: 40.097
Iteration: 71 (200 steps) - Average rewards across episodes: 40.201 | Moving average: 40.193
Iteration: 72 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.483
Iteration: 73 (200 steps) - Average rewards across episodes: 40.67 | Moving average: 40.577
Iteration: 74 (200 steps) - Average rewards across episodes: 39.703 | Moving average: 40.619IIteration: 75 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.573IIteration: 76 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 40.573IIteration: 77 (200 steps) - Average rewards across episodes: 40.682 | Moving average: 40.386IIteration: 78 (200 steps) - Average rewards across episodes: 40.205 | Moving average: 40.531IIteration: 79 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.721IIteration: 80 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.771
Iteration: 81 (200 steps) - Average rewards across episodes: 41.625 | Moving average: 40.914IIteration: 82 (200 steps) - Average rewards across episodes: 41.16 | Moving average: 40.867IIteration: 83 (200 steps) - Average rewards across episodes: 42.09 | Moving average: 41.009
