Data Path: ../data-firm/matmul_imagecompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 7.056 | Moving average: 7.056
Iteration: 1 (200 steps) - Average rewards across episodes: 12.284 | Moving average: 9.67
Iteration: 2 (200 steps) - Average rewards across episodes: 14.21 | Moving average: 11.183
Iteration: 3 (200 steps) - Average rewards across episodes: 13.859 | Moving average: 11.852
Iteration: 4 (200 steps) - Average rewards across episodes: 16.868 | Moving average: 12.855
Iteration: 5 (200 steps) - Average rewards across episodes: 12.635 | Moving average: 12.819
Iteration: 6 (200 steps) - Average rewards across episodes: 13.41 | Moving average: 12.903
Iteration: 7 (200 steps) - Average rewards across episodes: 13.78 | Moving average: 13.013
Iteration: 8 (200 steps) - Average rewards across episodes: 15.221 | Moving average: 13.258
Iteration: 9 (200 steps) - Average rewards across episodes: 15.993 | Moving average: 13.532
Iteration: 10 (200 steps) - Average rewards across episodes: 15.259 | Moving average: 14.352
Iteration: 11 (200 steps) - Average rewards across episodes: 7.509 | Moving average: 13.874
Iteration: 12 (200 steps) - Average rewards across episodes: 12.327 | Moving average: 13.686
Iteration: 13 (200 steps) - Average rewards across episodes: 13.224 | Moving average: 13.623
Iteration: 14 (200 steps) - Average rewards across episodes: 16.572 | Moving average: 13.593
Iteration: 15 (200 steps) - Average rewards across episodes: 16.287 | Moving average: 13.958
Iteration: 16 (200 steps) - Average rewards across episodes: 16.194 | Moving average: 14.237
Iteration: 17 (200 steps) - Average rewards across episodes: 17.247 | Moving average: 14.583
Iteration: 18 (200 steps) - Average rewards across episodes: 17.609 | Moving average: 14.822
Iteration: 19 (200 steps) - Average rewards across episodes: 16.595 | Moving average: 14.882
Iteration: 20 (200 steps) - Average rewards across episodes: 17.266 | Moving average: 15.083
Iteration: 21 (200 steps) - Average rewards across episodes: 13.257 | Moving average: 15.658
Iteration: 22 (200 steps) - Average rewards across episodes: 11.629 | Moving average: 15.588
Iteration: 23 (200 steps) - Average rewards across episodes: 7.055 | Moving average: 14.971
Iteration: 24 (200 steps) - Average rewards across episodes: 11.756 | Moving average: 14.489
Iteration: 25 (200 steps) - Average rewards across episodes: 11.835 | Moving average: 14.044
Iteration: 26 (200 steps) - Average rewards across episodes: 15.302 | Moving average: 13.955
Iteration: 27 (200 steps) - Average rewards across episodes: 15.634 | Moving average: 13.794
Iteration: 28 (200 steps) - Average rewards across episodes: 15.696 | Moving average: 13.602
Iteration: 29 (200 steps) - Average rewards across episodes: 12.948 | Moving average: 13.238
Iteration: 30 (200 steps) - Average rewards across episodes: 15.583 | Moving average: 13.069
Iteration: 31 (200 steps) - Average rewards across episodes: 16.213 | Moving average: 13.365
Iteration: 32 (200 steps) - Average rewards across episodes: 15.628 | Moving average: 13.765
Iteration: 33 (200 steps) - Average rewards across episodes: 11.898 | Moving average: 14.249
Iteration: 34 (200 steps) - Average rewards across episodes: 15.88 | Moving average: 14.662
Iteration: 35 (200 steps) - Average rewards across episodes: 15.931 | Moving average: 15.071
Iteration: 36 (200 steps) - Average rewards across episodes: 11.4 | Moving average: 14.681
Iteration: 37 (200 steps) - Average rewards across episodes: 16.535 | Moving average: 14.771
Iteration: 38 (200 steps) - Average rewards across episodes: 14.712 | Moving average: 14.673
Iteration: 39 (200 steps) - Average rewards across episodes: 13.711 | Moving average: 14.749
Iteration: 40 (200 steps) - Average rewards across episodes: 16.516 | Moving average: 14.842
Iteration: 41 (200 steps) - Average rewards across episodes: 16.215 | Moving average: 14.843
Iteration: 42 (200 steps) - Average rewards across episodes: 15.952 | Moving average: 14.875
Iteration: 43 (200 steps) - Average rewards across episodes: 15.965 | Moving average: 15.282
Iteration: 44 (200 steps) - Average rewards across episodes: 17.294 | Moving average: 15.423
Iteration: 45 (200 steps) - Average rewards across episodes: 16.792 | Moving average: 15.509
Iteration: 46 (200 steps) - Average rewards across episodes: 15.47 | Moving average: 15.916
Iteration: 47 (200 steps) - Average rewards across episodes: 16.673 | Moving average: 15.93
Iteration: 48 (200 steps) - Average rewards across episodes: 18.705 | Moving average: 16.329
Iteration: 49 (200 steps) - Average rewards across episodes: 9.979 | Moving average: 15.956
Iteration: 50 (200 steps) - Average rewards across episodes: 14.458 | Moving average: 15.75
Iteration: 51 (200 steps) - Average rewards across episodes: 14.872 | Moving average: 15.616
Iteration: 52 (200 steps) - Average rewards across episodes: 16.641 | Moving average: 15.685
Iteration: 53 (200 steps) - Average rewards across episodes: 17.461 | Moving average: 15.835
Iteration: 54 (200 steps) - Average rewards across episodes: 18.272 | Moving average: 15.932
Iteration: 55 (200 steps) - Average rewards across episodes: 16.588 | Moving average: 15.912
Iteration: 56 (200 steps) - Average rewards across episodes: 18.905 | Moving average: 16.255
Iteration: 57 (200 steps) - Average rewards across episodes: 18.119 | Moving average: 16.4
Iteration: 58 (200 steps) - Average rewards across episodes: 16.865 | Moving average: 16.216
Iteration: 59 (200 steps) - Average rewards across episodes: 18.391 | Moving average: 17.057
Iteration: 60 (200 steps) - Average rewards across episodes: 18.27 | Moving average: 17.438
Iteration: 61 (200 steps) - Average rewards across episodes: 18.392 | Moving average: 17.79
Iteration: 62 (200 steps) - Average rewards across episodes: 18.171 | Moving average: 17.943
Iteration: 63 (200 steps) - Average rewards across episodes: 18.324 | Moving average: 18.03
Iteration: 64 (200 steps) - Average rewards across episodes: 19.068 | Moving average: 18.109
Iteration: 65 (200 steps) - Average rewards across episodes: 18.118 | Moving average: 18.262
Iteration: 66 (200 steps) - Average rewards across episodes: 17.644 | Moving average: 18.136
Iteration: 67 (200 steps) - Average rewards across episodes: 18.786 | Moving average: 18.203
Iteration: 68 (200 steps) - Average rewards across episodes: 18.19 | Moving average: 18.336
Iteration: 69 (200 steps) - Average rewards across episodes: 18.516 | Moving average: 18.348
Iteration: 70 (200 steps) - Average rewards across episodes: 18.535 | Moving average: 18.375
Iteration: 71 (200 steps) - Average rewards across episodes: 19.505 | Moving average: 18.486
Iteration: 72 (200 steps) - Average rewards across episodes: 19.562 | Moving average: 18.625
Iteration: 73 (200 steps) - Average rewards across episodes: 18.873 | Moving average: 18.68
Iteration: 74 (200 steps) - Average rewards across episodes: 15.159 | Moving average: 18.289
Iteration: 75 (200 steps) - Average rewards across episodes: 15.048 | Moving average: 17.982
Iteration: 76 (200 steps) - Average rewards across episodes: 17.546 | Moving average: 17.972
Iteration: 77 (200 steps) - Average rewards across episodes: 18.775 | Moving average: 17.971
Iteration: 78 (200 steps) - Average rewards across episodes: 18.713 | Moving average: 18.023
Iteration: 79 (200 steps) - Average rewards across episodes: 17.93 | Moving average: 17.965
Iteration: 80 (200 steps) - Average rewards across episodes: 18.847 | Moving average: 17.996
Iteration: 81 (200 steps) - Average rewards across episodes: 17.665 | Moving average: 17.812
Iteration: 82 (200 steps) - Average rewards across episodes: 18.368 | Moving average: 17.693
Iteration: 83 (200 steps) - Average rewards across episodes: 14.293 | Moving average: 17.235
Iteration: 84 (200 steps) - Average rewards across episodes: 17.632 | Moving average: 17.482
Iteration: 85 (200 steps) - Average rewards across episodes: 17.515 | Moving average: 17.728
Iteration: 86 (200 steps) - Average rewards across episodes: 18.404 | Moving average: 17.814
Iteration: 87 (200 steps) - Average rewards across episodes: 19.358 | Moving average: 17.873
Iteration: 88 (200 steps) - Average rewards across episodes: 18.082 | Moving average: 17.809
Iteration: 89 (200 steps) - Average rewards across episodes: 17.586 | Moving average: 17.775
Iteration: 90 (200 steps) - Average rewards across episodes: 15.867 | Moving average: 17.477
Iteration: 91 (200 steps) - Average rewards across episodes: 17.323 | Moving average: 17.443
Iteration: 92 (200 steps) - Average rewards across episodes: 15.466 | Moving average: 17.152
Iteration: 93 (200 steps) - Average rewards across episodes: 15.373 | Moving average: 17.26
Iteration: 94 (200 steps) - Average rewards across episodes: 17.617 | Moving average: 17.259
Iteration: 95 (200 steps) - Average rewards across episodes: 18.781 | Moving average: 17.385
Iteration: 96 (200 steps) - Average rewards across episodes: 18.453 | Moving average: 17.39
Iteration: 97 (200 steps) - Average rewards across episodes: 18.063 | Moving average: 17.261
Iteration: 98 (200 steps) - Average rewards across episodes: 18.426 | Moving average: 17.295
Iteration: 99 (200 steps) - Average rewards across episodes: 18.072 | Moving average: 17.344
