Data Path: ../data-firm/readfile_imageresize_imagerotate_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 35.998 | Moving average: 35.998
Iteration: 1 (200 steps) - Average rewards across episodes: 34.165 | Moving average: 35.082
Iteration: 2 (200 steps) - Average rewards across episodes: 29.625 | Moving average: 33.263
Iteration: 3 (200 steps) - Average rewards across episodes: 34.392 | Moving average: 33.545
Iteration: 4 (200 steps) - Average rewards across episodes: 38.072 | Moving average: 34.45
Iteration: 5 (200 steps) - Average rewards across episodes: 37.664 | Moving average: 34.986
Iteration: 6 (200 steps) - Average rewards across episodes: 34.423 | Moving average: 34.906
Iteration: 7 (200 steps) - Average rewards across episodes: 38.734 | Moving average: 35.384
Iteration: 8 (200 steps) - Average rewards across episodes: 37.067 | Moving average: 35.571
Iteration: 9 (200 steps) - Average rewards across episodes: 36.511 | Moving average: 35.665
Iteration: 10 (200 steps) - Average rewards across episodes: 35.758 | Moving average: 35.641
Iteration: 11 (200 steps) - Average rewards across episodes: 35.275 | Moving average: 35.752
Iteration: 12 (200 steps) - Average rewards across episodes: 38.87 | Moving average: 36.677
Iteration: 13 (200 steps) - Average rewards across episodes: 38.376 | Moving average: 37.075
Iteration: 14 (200 steps) - Average rewards across episodes: 37.013 | Moving average: 36.969
Iteration: 15 (200 steps) - Average rewards across episodes: 39.075 | Moving average: 37.11
Iteration: 16 (200 steps) - Average rewards across episodes: 35.546 | Moving average: 37.223
Iteration: 17 (200 steps) - Average rewards across episodes: 37.395 | Moving average: 37.089
Iteration: 18 (200 steps) - Average rewards across episodes: 37.042 | Moving average: 37.086
Iteration: 19 (200 steps) - Average rewards across episodes: 34.908 | Moving average: 36.926
Iteration: 20 (200 steps) - Average rewards across episodes: 38.327 | Moving average: 37.183
Iteration: 21 (200 steps) - Average rewards across episodes: 38.258 | Moving average: 37.481
Iteration: 22 (200 steps) - Average rewards across episodes: 37.284 | Moving average: 37.322
Iteration: 23 (200 steps) - Average rewards across episodes: 36.696 | Moving average: 37.154
Iteration: 24 (200 steps) - Average rewards across episodes: 39.666 | Moving average: 37.42
Iteration: 25 (200 steps) - Average rewards across episodes: 34.493 | Moving average: 36.962
Iteration: 26 (200 steps) - Average rewards across episodes: 35.249 | Moving average: 36.932
Iteration: 27 (200 steps) - Average rewards across episodes: 35.703 | Moving average: 36.763
Iteration: 28 (200 steps) - Average rewards across episodes: 38.229 | Moving average: 36.881
Iteration: 29 (200 steps) - Average rewards across episodes: 37.034 | Moving average: 37.094
Iteration: 30 (200 steps) - Average rewards across episodes: 37.54 | Moving average: 37.015
Iteration: 31 (200 steps) - Average rewards across episodes: 40.729 | Moving average: 37.262
Iteration: 32 (200 steps) - Average rewards across episodes: 38.225 | Moving average: 37.356
Iteration: 33 (200 steps) - Average rewards across episodes: 37.193 | Moving average: 37.406
Iteration: 34 (200 steps) - Average rewards across episodes: 39.395 | Moving average: 37.379
Iteration: 35 (200 steps) - Average rewards across episodes: 39.397 | Moving average: 37.869
Iteration: 36 (200 steps) - Average rewards across episodes: 39.788 | Moving average: 38.323
Iteration: 37 (200 steps) - Average rewards across episodes: 40.222 | Moving average: 38.775
Iteration: 38 (200 steps) - Average rewards across episodes: 39.972 | Moving average: 38.95
Iteration: 39 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 39.264
Iteration: 40 (200 steps) - Average rewards across episodes: 39.349 | Moving average: 39.445
Iteration: 41 (200 steps) - Average rewards across episodes: 37.285 | Moving average: 39.1
Iteration: 42 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 39.341
Iteration: 43 (200 steps) - Average rewards across episodes: 39.786 | Moving average: 39.601
Iteration: 44 (200 steps) - Average rewards across episodes: 39.809 | Moving average: 39.642
Iteration: 45 (200 steps) - Average rewards across episodes: 39.372 | Moving average: 39.64
Iteration: 46 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 39.678
Iteration: 47 (200 steps) - Average rewards across episodes: 40.247 | Moving average: 39.681
Iteration: 48 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 39.701
Iteration: 49 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 39.747
Iteration: 50 (200 steps) - Average rewards across episodes: 40.636 | Moving average: 39.876
Iteration: 51 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.165
Iteration: 52 (200 steps) - Average rewards across episodes: 41.096 | Moving average: 40.211
Iteration: 53 (200 steps) - Average rewards across episodes: 40.176 | Moving average: 40.25
Iteration: 54 (200 steps) - Average rewards across episodes: 41.096 | Moving average: 40.379
