Data Path: ../data-firm/sleep_decompress_matmul_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 28.719 | Moving average: 28.719
Iteration: 1 (200 steps) - Average rewards across episodes: 22.501 | Moving average: 25.61
Iteration: 2 (200 steps) - Average rewards across episodes: 31.812 | Moving average: 27.677
Iteration: 3 (200 steps) - Average rewards across episodes: 32.656 | Moving average: 28.922
Iteration: 4 (200 steps) - Average rewards across episodes: 26.866 | Moving average: 28.511
Iteration: 5 (200 steps) - Average rewards across episodes: 25.509 | Moving average: 28.011
Iteration: 6 (200 steps) - Average rewards across episodes: 34.448 | Moving average: 28.93
Iteration: 7 (200 steps) - Average rewards across episodes: 31.313 | Moving average: 29.228
Iteration: 8 (200 steps) - Average rewards across episodes: 32.254 | Moving average: 29.564
Iteration: 9 (200 steps) - Average rewards across episodes: 34.455 | Moving average: 30.053
Iteration: 10 (200 steps) - Average rewards across episodes: 32.684 | Moving average: 30.45
Iteration: 11 (200 steps) - Average rewards across episodes: 31.705 | Moving average: 31.37
Iteration: 12 (200 steps) - Average rewards across episodes: 36.632 | Moving average: 31.852
Iteration: 13 (200 steps) - Average rewards across episodes: 34.4 | Moving average: 32.027
Iteration: 14 (200 steps) - Average rewards across episodes: 36.638 | Moving average: 33.004
Iteration: 15 (200 steps) - Average rewards across episodes: 34.877 | Moving average: 33.941
Iteration: 16 (200 steps) - Average rewards across episodes: 29.716 | Moving average: 33.467
Iteration: 17 (200 steps) - Average rewards across episodes: 31.437 | Moving average: 33.48
Iteration: 18 (200 steps) - Average rewards across episodes: 34.619 | Moving average: 33.716
Iteration: 19 (200 steps) - Average rewards across episodes: 32.267 | Moving average: 33.498
Iteration: 20 (200 steps) - Average rewards across episodes: 34.065 | Moving average: 33.636
Iteration: 21 (200 steps) - Average rewards across episodes: 33.634 | Moving average: 33.829
Iteration: 22 (200 steps) - Average rewards across episodes: 30.974 | Moving average: 33.263
Iteration: 23 (200 steps) - Average rewards across episodes: 33.567 | Moving average: 33.179
Iteration: 24 (200 steps) - Average rewards across episodes: 34.194 | Moving average: 32.935
Iteration: 25 (200 steps) - Average rewards across episodes: 35.119 | Moving average: 32.959
Iteration: 26 (200 steps) - Average rewards across episodes: 36.579 | Moving average: 33.645
Iteration: 27 (200 steps) - Average rewards across episodes: 35.285 | Moving average: 34.03
Iteration: 28 (200 steps) - Average rewards across episodes: 35.71 | Moving average: 34.139
Iteration: 29 (200 steps) - Average rewards across episodes: 34.789 | Moving average: 34.392
Iteration: 30 (200 steps) - Average rewards across episodes: 36.375 | Moving average: 34.623
Iteration: 31 (200 steps) - Average rewards across episodes: 34.328 | Moving average: 34.692
Iteration: 32 (200 steps) - Average rewards across episodes: 34.762 | Moving average: 35.071
Iteration: 33 (200 steps) - Average rewards across episodes: 35.128 | Moving average: 35.227
Iteration: 34 (200 steps) - Average rewards across episodes: 38.106 | Moving average: 35.618
Iteration: 35 (200 steps) - Average rewards across episodes: 35.847 | Moving average: 35.691
Iteration: 36 (200 steps) - Average rewards across episodes: 34.924 | Moving average: 35.525
Iteration: 37 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 35.808
Iteration: 38 (200 steps) - Average rewards across episodes: 34.034 | Moving average: 35.641
Iteration: 39 (200 steps) - Average rewards across episodes: 39.006 | Moving average: 36.062
Iteration: 40 (200 steps) - Average rewards across episodes: 37.199 | Moving average: 36.145
Iteration: 41 (200 steps) - Average rewards across episodes: 36.757 | Moving average: 36.388
Iteration: 42 (200 steps) - Average rewards across episodes: 36.302 | Moving average: 36.542
Iteration: 43 (200 steps) - Average rewards across episodes: 37.654 | Moving average: 36.794
Iteration: 44 (200 steps) - Average rewards across episodes: 36.76 | Moving average: 36.66
Iteration: 45 (200 steps) - Average rewards across episodes: 38.118 | Moving average: 36.887
Iteration: 46 (200 steps) - Average rewards across episodes: 37.657 | Moving average: 37.16
Iteration: 47 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 37.16
Iteration: 48 (200 steps) - Average rewards across episodes: 36.76 | Moving average: 37.433
Iteration: 49 (200 steps) - Average rewards across episodes: 37.211 | Moving average: 37.253
Iteration: 50 (200 steps) - Average rewards across episodes: 34.476 | Moving average: 36.981
Iteration: 51 (200 steps) - Average rewards across episodes: 37.213 | Moving average: 37.027
Iteration: 52 (200 steps) - Average rewards across episodes: 37.662 | Moving average: 37.163
Iteration: 53 (200 steps) - Average rewards across episodes: 37.201 | Moving average: 37.117
Iteration: 54 (200 steps) - Average rewards across episodes: 37.656 | Moving average: 37.207
Iteration: 55 (200 steps) - Average rewards across episodes: 37.213 | Moving average: 37.116
Iteration: 56 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 37.207
Iteration: 57 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 37.253
Iteration: 58 (200 steps) - Average rewards across episodes: 37.665 | Moving average: 37.343
Iteration: 59 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 37.479
Iteration: 60 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 37.888
Iteration: 61 (200 steps) - Average rewards across episodes: 39.017 | Moving average: 38.069
Iteration: 62 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 38.114
Iteration: 63 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 38.205
Iteration: 64 (200 steps) - Average rewards across episodes: 37.665 | Moving average: 38.206
Iteration: 65 (200 steps) - Average rewards across episodes: 37.665 | Moving average: 38.251
Iteration: 66 (200 steps) - Average rewards across episodes: 28.599 | Moving average: 37.255
Iteration: 67 (200 steps) - Average rewards across episodes: 31.756 | Moving average: 36.573
Iteration: 68 (200 steps) - Average rewards across episodes: 34.036 | Moving average: 36.21
Iteration: 69 (200 steps) - Average rewards across episodes: 34.941 | Moving average: 35.848
Iteration: 70 (200 steps) - Average rewards across episodes: 37.662 | Moving average: 35.757
Iteration: 71 (200 steps) - Average rewards across episodes: 36.305 | Moving average: 35.486
Iteration: 72 (200 steps) - Average rewards across episodes: 36.758 | Moving average: 35.35
Iteration: 73 (200 steps) - Average rewards across episodes: 37.213 | Moving average: 35.26
Iteration: 74 (200 steps) - Average rewards across episodes: 37.204 | Moving average: 35.214
Iteration: 75 (200 steps) - Average rewards across episodes: 36.752 | Moving average: 35.123
Iteration: 76 (200 steps) - Average rewards across episodes: 38.564 | Moving average: 36.119
Iteration: 77 (200 steps) - Average rewards across episodes: 38.561 | Moving average: 36.8
Iteration: 78 (200 steps) - Average rewards across episodes: 36.744 | Moving average: 37.071
Iteration: 79 (200 steps) - Average rewards across episodes: 38.104 | Moving average: 37.387
Iteration: 80 (200 steps) - Average rewards across episodes: 37.208 | Moving average: 37.341
Iteration: 81 (200 steps) - Average rewards across episodes: 37.666 | Moving average: 37.477
Iteration: 82 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 37.613
Iteration: 83 (200 steps) - Average rewards across episodes: 39.017 | Moving average: 37.794
Iteration: 84 (200 steps) - Average rewards across episodes: 38.103 | Moving average: 37.883
Iteration: 85 (200 steps) - Average rewards across episodes: 37.207 | Moving average: 37.929
Iteration: 86 (200 steps) - Average rewards across episodes: 37.665 | Moving average: 37.839
Iteration: 87 (200 steps) - Average rewards across episodes: 37.213 | Moving average: 37.704
Iteration: 88 (200 steps) - Average rewards across episodes: 35.368 | Moving average: 37.567
Iteration: 89 (200 steps) - Average rewards across episodes: 36.749 | Moving average: 37.431
Iteration: 90 (200 steps) - Average rewards across episodes: 38.115 | Moving average: 37.522
Iteration: 91 (200 steps) - Average rewards across episodes: 38.568 | Moving average: 37.612
Iteration: 92 (200 steps) - Average rewards across episodes: 33.115 | Moving average: 37.112
Iteration: 93 (200 steps) - Average rewards across episodes: 36.293 | Moving average: 36.84
Iteration: 94 (200 steps) - Average rewards across episodes: 36.301 | Moving average: 36.66
Iteration: 95 (200 steps) - Average rewards across episodes: 37.205 | Moving average: 36.659
Iteration: 96 (200 steps) - Average rewards across episodes: 37.205 | Moving average: 36.613
Iteration: 97 (200 steps) - Average rewards across episodes: 38.118 | Moving average: 36.704
Iteration: 98 (200 steps) - Average rewards across episodes: 38.118 | Moving average: 36.979
