Data Path: ../data-firm/writefile_writefile_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
Iteration: 0 (200 steps) - Average rewards across episodes: 14.817 | Moving average: 14.817
Iteration: 1 (200 steps) - Average rewards across episodes: 15.056 | Moving average: 14.937
Iteration: 2 (200 steps) - Average rewards across episodes: 12.606 | Moving average: 14.16
Iteration: 3 (200 steps) - Average rewards across episodes: 14.302 | Moving average: 14.195
Iteration: 4 (200 steps) - Average rewards across episodes: 14.833 | Moving average: 14.323
Iteration: 5 (200 steps) - Average rewards across episodes: 18.681 | Moving average: 15.049
Iteration: 6 (200 steps) - Average rewards across episodes: 17.0 | Moving average: 15.328
Iteration: 7 (200 steps) - Average rewards across episodes: 21.041 | Moving average: 16.042
Iteration: 8 (200 steps) - Average rewards across episodes: 18.939 | Moving average: 16.364
Iteration: 9 (200 steps) - Average rewards across episodes: 17.35 | Moving average: 16.462
Iteration: 10 (200 steps) - Average rewards across episodes: 18.76 | Moving average: 16.857
Iteration: 11 (200 steps) - Average rewards across episodes: 21.022 | Moving average: 17.453
Iteration: 12 (200 steps) - Average rewards across episodes: 19.412 | Moving average: 18.134
Iteration: 13 (200 steps) - Average rewards across episodes: 19.535 | Moving average: 18.657
Iteration: 14 (200 steps) - Average rewards across episodes: 20.048 | Moving average: 19.179
Iteration: 15 (200 steps) - Average rewards across episodes: 19.987 | Moving average: 19.309
Iteration: 16 (200 steps) - Average rewards across episodes: 19.595 | Moving average: 19.569
Iteration: 17 (200 steps) - Average rewards across episodes: 20.95 | Moving average: 19.56
Iteration: 18 (200 steps) - Average rewards across episodes: 19.447 | Moving average: 19.611
Iteration: 19 (200 steps) - Average rewards across episodes: 19.747 | Moving average: 19.85
Iteration: 20 (200 steps) - Average rewards across episodes: 19.062 | Moving average: 19.88
Iteration: 21 (200 steps) - Average rewards across episodes: 19.99 | Moving average: 19.777
Iteration: 22 (200 steps) - Average rewards across episodes: 20.41 | Moving average: 19.877
Iteration: 23 (200 steps) - Average rewards across episodes: 16.246 | Moving average: 19.548
Iteration: 24 (200 steps) - Average rewards across episodes: 19.813 | Moving average: 19.525
Iteration: 25 (200 steps) - Average rewards across episodes: 20.516 | Moving average: 19.578
Iteration: 26 (200 steps) - Average rewards across episodes: 16.734 | Moving average: 19.292
Iteration: 27 (200 steps) - Average rewards across episodes: 16.652 | Moving average: 18.862
Iteration: 28 (200 steps) - Average rewards across episodes: 21.046 | Moving average: 19.022
Iteration: 29 (200 steps) - Average rewards across episodes: 15.115 | Moving average: 18.558
Iteration: 30 (200 steps) - Average rewards across episodes: 17.646 | Moving average: 18.417
Iteration: 31 (200 steps) - Average rewards across episodes: 21.451 | Moving average: 18.563
Iteration: 32 (200 steps) - Average rewards across episodes: 20.853 | Moving average: 18.607
Iteration: 33 (200 steps) - Average rewards across episodes: 18.039 | Moving average: 18.787
