Data Path: ../data-firm/atarget.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/atarget.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 20.427 | Moving average: 20.427
Iteration: 1 (200 steps) - Average rewards across episodes: 17.645 | Moving average: 19.036
Iteration: 2 (200 steps) - Average rewards across episodes: 18.694 | Moving average: 18.922
Iteration: 3 (200 steps) - Average rewards across episodes: 22.43 | Moving average: 19.799
Iteration: 4 (200 steps) - Average rewards across episodes: 22.644 | Moving average: 20.368
Iteration: 5 (200 steps) - Average rewards across episodes: 23.212 | Moving average: 20.842
Iteration: 6 (200 steps) - Average rewards across episodes: 22.621 | Moving average: 21.096
Iteration: 7 (200 steps) - Average rewards across episodes: 20.157 | Moving average: 20.979
Iteration: 8 (200 steps) - Average rewards across episodes: 21.741 | Moving average: 21.063
Iteration: 9 (200 steps) - Average rewards across episodes: 23.485 | Moving average: 21.306
Iteration: 10 (200 steps) - Average rewards across episodes: 25.228 | Moving average: 21.786
Iteration: 11 (200 steps) - Average rewards across episodes: 24.496 | Moving average: 22.471
Iteration: 12 (200 steps) - Average rewards across episodes: 21.588 | Moving average: 22.76
Iteration: 13 (200 steps) - Average rewards across episodes: 21.231 | Moving average: 22.64
Iteration: 14 (200 steps) - Average rewards across episodes: 24.583 | Moving average: 22.834
Iteration: 15 (200 steps) - Average rewards across episodes: 25.238 | Moving average: 23.037
Iteration: 16 (200 steps) - Average rewards across episodes: 26.371 | Moving average: 23.412
Iteration: 17 (200 steps) - Average rewards across episodes: 27.259 | Moving average: 24.122
Iteration: 18 (200 steps) - Average rewards across episodes: 26.422 | Moving average: 24.59
Iteration: 19 (200 steps) - Average rewards across episodes: 26.059 | Moving average: 24.847
Iteration: 20 (200 steps) - Average rewards across episodes: 25.345 | Moving average: 24.859
Iteration: 21 (200 steps) - Average rewards across episodes: 25.823 | Moving average: 24.992
Iteration: 22 (200 steps) - Average rewards across episodes: 27.787 | Moving average: 25.612
Iteration: 23 (200 steps) - Average rewards across episodes: 27.894 | Moving average: 26.278
Iteration: 24 (200 steps) - Average rewards across episodes: 27.024 | Moving average: 26.522
Iteration: 25 (200 steps) - Average rewards across episodes: 28.707 | Moving average: 26.869
Iteration: 26 (200 steps) - Average rewards across episodes: 29.107 | Moving average: 27.143
Iteration: 27 (200 steps) - Average rewards across episodes: 27.088 | Moving average: 27.126
Iteration: 28 (200 steps) - Average rewards across episodes: 28.705 | Moving average: 27.354
Iteration: 29 (200 steps) - Average rewards across episodes: 29.119 | Moving average: 27.66
Iteration: 30 (200 steps) - Average rewards across episodes: 29.094 | Moving average: 28.035
Iteration: 31 (200 steps) - Average rewards across episodes: 29.109 | Moving average: 28.364
Iteration: 32 (200 steps) - Average rewards across episodes: 27.889 | Moving average: 28.374
Iteration: 33 (200 steps) - Average rewards across episodes: 28.718 | Moving average: 28.456
Iteration: 34 (200 steps) - Average rewards across episodes: 28.718 | Moving average: 28.625
Iteration: 35 (200 steps) - Average rewards across episodes: 29.521 | Moving average: 28.707
