Data Path: ../data-firm/compress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/compress_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 22.079 | Moving average: 22.079
Iteration: 1 (200 steps) - Average rewards across episodes: 24.105 | Moving average: 23.092
Iteration: 2 (200 steps) - Average rewards across episodes: 23.987 | Moving average: 23.391
Iteration: 3 (200 steps) - Average rewards across episodes: 25.384 | Moving average: 23.889
Iteration: 4 (200 steps) - Average rewards across episodes: 27.666 | Moving average: 24.644
Iteration: 5 (200 steps) - Average rewards across episodes: 27.499 | Moving average: 25.12
Iteration: 6 (200 steps) - Average rewards across episodes: 23.361 | Moving average: 24.869
Iteration: 7 (200 steps) - Average rewards across episodes: 27.435 | Moving average: 25.19
Iteration: 8 (200 steps) - Average rewards across episodes: 29.488 | Moving average: 25.667
Iteration: 9 (200 steps) - Average rewards across episodes: 26.801 | Moving average: 25.781
Iteration: 10 (200 steps) - Average rewards across episodes: 27.897 | Moving average: 26.362
Iteration: 11 (200 steps) - Average rewards across episodes: 27.585 | Moving average: 26.71
Iteration: 12 (200 steps) - Average rewards across episodes: 27.523 | Moving average: 27.064
Iteration: 13 (200 steps) - Average rewards across episodes: 27.513 | Moving average: 27.277
Iteration: 14 (200 steps) - Average rewards across episodes: 28.431 | Moving average: 27.353
Iteration: 15 (200 steps) - Average rewards across episodes: 27.64 | Moving average: 27.367
Iteration: 16 (200 steps) - Average rewards across episodes: 28.761 | Moving average: 27.907
Iteration: 17 (200 steps) - Average rewards across episodes: 29.707 | Moving average: 28.135
Iteration: 18 (200 steps) - Average rewards across episodes: 28.434 | Moving average: 28.029
Iteration: 19 (200 steps) - Average rewards across episodes: 27.61 | Moving average: 28.11
Iteration: 20 (200 steps) - Average rewards across episodes: 26.79 | Moving average: 27.999
Iteration: 21 (200 steps) - Average rewards across episodes: 25.514 | Moving average: 27.792
Iteration: 22 (200 steps) - Average rewards across episodes: 25.453 | Moving average: 27.585
Iteration: 23 (200 steps) - Average rewards across episodes: 27.163 | Moving average: 27.55
Iteration: 24 (200 steps) - Average rewards across episodes: 27.528 | Moving average: 27.46
Iteration: 25 (200 steps) - Average rewards across episodes: 27.205 | Moving average: 27.416
Iteration: 26 (200 steps) - Average rewards across episodes: 26.413 | Moving average: 27.182
Iteration: 27 (200 steps) - Average rewards across episodes: 26.788 | Moving average: 26.89
Iteration: 28 (200 steps) - Average rewards across episodes: 27.207 | Moving average: 26.767
Iteration: 29 (200 steps) - Average rewards across episodes: 28.045 | Moving average: 26.811
Iteration: 30 (200 steps) - Average rewards across episodes: 26.769 | Moving average: 26.808
Iteration: 31 (200 steps) - Average rewards across episodes: 29.315 | Moving average: 27.189
Iteration: 32 (200 steps) - Average rewards across episodes: 29.283 | Moving average: 27.572
Iteration: 33 (200 steps) - Average rewards across episodes: 29.712 | Moving average: 27.826
Iteration: 34 (200 steps) - Average rewards across episodes: 29.305 | Moving average: 28.004
Iteration: 35 (200 steps) - Average rewards across episodes: 28.894 | Moving average: 28.173
Iteration: 36 (200 steps) - Average rewards across episodes: 29.706 | Moving average: 28.502
Iteration: 37 (200 steps) - Average rewards across episodes: 29.706 | Moving average: 28.794
Iteration: 38 (200 steps) - Average rewards across episodes: 28.461 | Moving average: 28.919
Iteration: 39 (200 steps) - Average rewards across episodes: 30.134 | Moving average: 29.128
Iteration: 40 (200 steps) - Average rewards across episodes: 26.804 | Moving average: 29.132
Iteration: 41 (200 steps) - Average rewards across episodes: 29.689 | Moving average: 29.169
Iteration: 42 (200 steps) - Average rewards across episodes: 26.351 | Moving average: 28.876
Iteration: 43 (200 steps) - Average rewards across episodes: 28.001 | Moving average: 28.705
Iteration: 44 (200 steps) - Average rewards across episodes: 29.655 | Moving average: 28.74
Iteration: 45 (200 steps) - Average rewards across episodes: 28.087 | Moving average: 28.659
Iteration: 46 (200 steps) - Average rewards across episodes: 26.814 | Moving average: 28.37
Iteration: 47 (200 steps) - Average rewards across episodes: 27.255 | Moving average: 28.125
Iteration: 48 (200 steps) - Average rewards across episodes: 27.96 | Moving average: 28.075
Iteration: 49 (200 steps) - Average rewards across episodes: 24.214 | Moving average: 27.483
Iteration: 50 (200 steps) - Average rewards across episodes: 27.968 | Moving average: 27.599
Iteration: 51 (200 steps) - Average rewards across episodes: 21.691 | Moving average: 26.8
Iteration: 52 (200 steps) - Average rewards across episodes: 24.948 | Moving average: 26.659
Iteration: 53 (200 steps) - Average rewards across episodes: 23.609 | Moving average: 26.22
Iteration: 54 (200 steps) - Average rewards across episodes: 26.67 | Moving average: 25.922
Iteration: 55 (200 steps) - Average rewards across episodes: 28.366 | Moving average: 25.949
Iteration: 56 (200 steps) - Average rewards across episodes: 27.958 | Moving average: 26.064
Iteration: 57 (200 steps) - Average rewards across episodes: 28.423 | Moving average: 26.181
Iteration: 58 (200 steps) - Average rewards across episodes: 29.696 | Moving average: 26.354
Iteration: 59 (200 steps) - Average rewards across episodes: 29.248 | Moving average: 26.858
Iteration: 60 (200 steps) - Average rewards across episodes: 29.595 | Moving average: 27.02
Iteration: 61 (200 steps) - Average rewards across episodes: 26.781 | Moving average: 27.529
Iteration: 62 (200 steps) - Average rewards across episodes: 29.665 | Moving average: 28.001
Iteration: 63 (200 steps) - Average rewards across episodes: 28.812 | Moving average: 28.521
Iteration: 64 (200 steps) - Average rewards across episodes: 26.001 | Moving average: 28.455
Iteration: 65 (200 steps) - Average rewards across episodes: 28.034 | Moving average: 28.421
Iteration: 66 (200 steps) - Average rewards across episodes: 29.262 | Moving average: 28.552
Iteration: 67 (200 steps) - Average rewards across episodes: 29.293 | Moving average: 28.639
Iteration: 68 (200 steps) - Average rewards across episodes: 28.895 | Moving average: 28.559
Iteration: 69 (200 steps) - Average rewards across episodes: 29.278 | Moving average: 28.562
Iteration: 70 (200 steps) - Average rewards across episodes: 28.056 | Moving average: 28.408
Iteration: 71 (200 steps) - Average rewards across episodes: 30.112 | Moving average: 28.741
Iteration: 72 (200 steps) - Average rewards across episodes: 29.716 | Moving average: 28.746
Iteration: 73 (200 steps) - Average rewards across episodes: 25.075 | Moving average: 28.372
Iteration: 74 (200 steps) - Average rewards across episodes: 25.445 | Moving average: 28.317
Iteration: 75 (200 steps) - Average rewards across episodes: 29.293 | Moving average: 28.442
Iteration: 76 (200 steps) - Average rewards across episodes: 28.4 | Moving average: 28.356
Iteration: 77 (200 steps) - Average rewards across episodes: 27.967 | Moving average: 28.224
Iteration: 78 (200 steps) - Average rewards across episodes: 28.42 | Moving average: 28.176
Iteration: 79 (200 steps) - Average rewards across episodes: 28.459 | Moving average: 28.094
Iteration: 80 (200 steps) - Average rewards across episodes: 26.74 | Moving average: 27.963
Iteration: 81 (200 steps) - Average rewards across episodes: 27.602 | Moving average: 27.712
Iteration: 82 (200 steps) - Average rewards across episodes: 27.252 | Moving average: 27.465
Iteration: 83 (200 steps) - Average rewards across episodes: 28.874 | Moving average: 27.845
Iteration: 84 (200 steps) - Average rewards across episodes: 28.882 | Moving average: 28.189
Iteration: 85 (200 steps) - Average rewards across episodes: 27.183 | Moving average: 27.978
Iteration: 86 (200 steps) - Average rewards across episodes: 29.276 | Moving average: 28.066
Iteration: 87 (200 steps) - Average rewards across episodes: 28.81 | Moving average: 28.15
Iteration: 88 (200 steps) - Average rewards across episodes: 24.709 | Moving average: 27.779
Iteration: 89 (200 steps) - Average rewards across episodes: 26.789 | Moving average: 27.612
Iteration: 90 (200 steps) - Average rewards across episodes: 24.67 | Moving average: 27.405
Iteration: 91 (200 steps) - Average rewards across episodes: 28.426 | Moving average: 27.487
Iteration: 92 (200 steps) - Average rewards across episodes: 28.371 | Moving average: 27.599
Iteration: 93 (200 steps) - Average rewards across episodes: 26.728 | Moving average: 27.384
Iteration: 94 (200 steps) - Average rewards across episodes: 28.381 | Moving average: 27.334
Iteration: 95 (200 steps) - Average rewards across episodes: 26.317 | Moving average: 27.248
Iteration: 96 (200 steps) - Average rewards across episodes: 25.876 | Moving average: 26.908
Iteration: 97 (200 steps) - Average rewards across episodes: 23.821 | Moving average: 26.409
Iteration: 98 (200 steps) - Average rewards across episodes: 25.904 | Moving average: 26.528
Iteration: 99 (200 steps) - Average rewards across episodes: 25.136 | Moving average: 26.363
