Data Path: ../data-firm/decompress_compress_decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/decompress_compress_decompress_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 21.43 | Moving average: 21.43
Iteration: 1 (200 steps) - Average rewards across episodes: 27.983 | Moving average: 24.707
Iteration: 2 (200 steps) - Average rewards across episodes: 22.683 | Moving average: 24.032
Iteration: 3 (200 steps) - Average rewards across episodes: 23.075 | Moving average: 23.793
Iteration: 4 (200 steps) - Average rewards across episodes: 27.468 | Moving average: 24.528
Iteration: 5 (200 steps) - Average rewards across episodes: 22.25 | Moving average: 24.148
Iteration: 6 (200 steps) - Average rewards across episodes: 26.419 | Moving average: 24.473
Iteration: 7 (200 steps) - Average rewards across episodes: 29.094 | Moving average: 25.05
Iteration: 8 (200 steps) - Average rewards across episodes: 26.942 | Moving average: 25.26
Iteration: 9 (200 steps) - Average rewards across episodes: 27.506 | Moving average: 25.485
Iteration: 10 (200 steps) - Average rewards across episodes: 30.515 | Moving average: 26.393
Iteration: 11 (200 steps) - Average rewards across episodes: 31.699 | Moving average: 26.765
Iteration: 12 (200 steps) - Average rewards across episodes: 31.727 | Moving average: 27.669
Iteration: 13 (200 steps) - Average rewards across episodes: 30.014 | Moving average: 28.363
Iteration: 14 (200 steps) - Average rewards across episodes: 31.768 | Moving average: 28.793
Iteration: 15 (200 steps) - Average rewards across episodes: 31.748 | Moving average: 29.743
Iteration: 16 (200 steps) - Average rewards across episodes: 31.955 | Moving average: 30.297
Iteration: 17 (200 steps) - Average rewards across episodes: 28.037 | Moving average: 30.191
Iteration: 18 (200 steps) - Average rewards across episodes: 30.292 | Moving average: 30.526
Iteration: 19 (200 steps) - Average rewards across episodes: 30.793 | Moving average: 30.855
Iteration: 20 (200 steps) - Average rewards across episodes: 32.802 | Moving average: 31.084
Iteration: 21 (200 steps) - Average rewards across episodes: 28.012 | Moving average: 30.715
Iteration: 22 (200 steps) - Average rewards across episodes: 30.229 | Moving average: 30.565
Iteration: 23 (200 steps) - Average rewards across episodes: 32.76 | Moving average: 30.84
Iteration: 24 (200 steps) - Average rewards across episodes: 31.938 | Moving average: 30.857
Iteration: 25 (200 steps) - Average rewards across episodes: 27.906 | Moving average: 30.472
Iteration: 26 (200 steps) - Average rewards across episodes: 30.907 | Moving average: 30.368
Iteration: 27 (200 steps) - Average rewards across episodes: 29.449 | Moving average: 30.509
Iteration: 28 (200 steps) - Average rewards across episodes: 30.91 | Moving average: 30.571
Iteration: 29 (200 steps) - Average rewards across episodes: 29.712 | Moving average: 30.462
Iteration: 30 (200 steps) - Average rewards across episodes: 31.351 | Moving average: 30.317
Iteration: 31 (200 steps) - Average rewards across episodes: 30.503 | Moving average: 30.567
Iteration: 32 (200 steps) - Average rewards across episodes: 30.167 | Moving average: 30.56
Iteration: 33 (200 steps) - Average rewards across episodes: 32.259 | Moving average: 30.51
Iteration: 34 (200 steps) - Average rewards across episodes: 31.867 | Moving average: 30.503
Iteration: 35 (200 steps) - Average rewards across episodes: 31.459 | Moving average: 30.858
Iteration: 36 (200 steps) - Average rewards across episodes: 32.587 | Moving average: 31.026
Iteration: 37 (200 steps) - Average rewards across episodes: 31.384 | Moving average: 31.22
Iteration: 38 (200 steps) - Average rewards across episodes: 33.902 | Moving average: 31.519
Iteration: 39 (200 steps) - Average rewards across episodes: 30.127 | Moving average: 31.56
Iteration: 40 (200 steps) - Average rewards across episodes: 33.541 | Moving average: 31.779
Iteration: 41 (200 steps) - Average rewards across episodes: 33.588 | Moving average: 32.088
Iteration: 42 (200 steps) - Average rewards across episodes: 33.52 | Moving average: 32.423
Iteration: 43 (200 steps) - Average rewards across episodes: 31.957 | Moving average: 32.393
Iteration: 44 (200 steps) - Average rewards across episodes: 32.702 | Moving average: 32.477
Iteration: 45 (200 steps) - Average rewards across episodes: 33.154 | Moving average: 32.646
Iteration: 46 (200 steps) - Average rewards across episodes: 33.185 | Moving average: 32.706
Iteration: 47 (200 steps) - Average rewards across episodes: 32.695 | Moving average: 32.837
Iteration: 48 (200 steps) - Average rewards across episodes: 32.288 | Moving average: 32.676
Iteration: 49 (200 steps) - Average rewards across episodes: 34.418 | Moving average: 33.105
