Data Path: ../data-firm/decompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/decompress_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 31.081 | Moving average: 31.081
Iteration: 1 (200 steps) - Average rewards across episodes: 30.009 | Moving average: 30.545
Iteration: 2 (200 steps) - Average rewards across episodes: 35.148 | Moving average: 32.079
Iteration: 3 (200 steps) - Average rewards across episodes: 28.612 | Moving average: 31.213
Iteration: 4 (200 steps) - Average rewards across episodes: 28.424 | Moving average: 30.655
Iteration: 5 (200 steps) - Average rewards across episodes: 32.56 | Moving average: 30.972
Iteration: 6 (200 steps) - Average rewards across episodes: 30.673 | Moving average: 30.93
Iteration: 7 (200 steps) - Average rewards across episodes: 30.765 | Moving average: 30.909
Iteration: 8 (200 steps) - Average rewards across episodes: 34.375 | Moving average: 31.294
Iteration: 9 (200 steps) - Average rewards across episodes: 32.351 | Moving average: 31.4
Iteration: 10 (200 steps) - Average rewards across episodes: 29.656 | Moving average: 31.257
Iteration: 11 (200 steps) - Average rewards across episodes: 32.078 | Moving average: 31.464
Iteration: 12 (200 steps) - Average rewards across episodes: 32.927 | Moving average: 31.242
Iteration: 13 (200 steps) - Average rewards across episodes: 30.341 | Moving average: 31.415
Iteration: 14 (200 steps) - Average rewards across episodes: 34.442 | Moving average: 32.017
Iteration: 15 (200 steps) - Average rewards across episodes: 30.119 | Moving average: 31.773
Iteration: 16 (200 steps) - Average rewards across episodes: 31.684 | Moving average: 31.874
Iteration: 17 (200 steps) - Average rewards across episodes: 31.212 | Moving average: 31.919
Iteration: 18 (200 steps) - Average rewards across episodes: 30.493 | Moving average: 31.53
Iteration: 19 (200 steps) - Average rewards across episodes: 33.134 | Moving average: 31.609
Iteration: 20 (200 steps) - Average rewards across episodes: 27.687 | Moving average: 31.412
Iteration: 21 (200 steps) - Average rewards across episodes: 31.323 | Moving average: 31.336
Iteration: 22 (200 steps) - Average rewards across episodes: 34.196 | Moving average: 31.463
Iteration: 23 (200 steps) - Average rewards across episodes: 33.069 | Moving average: 31.736
Iteration: 24 (200 steps) - Average rewards across episodes: 34.632 | Moving average: 31.755
Iteration: 25 (200 steps) - Average rewards across episodes: 33.628 | Moving average: 32.106
Iteration: 26 (200 steps) - Average rewards across episodes: 36.744 | Moving average: 32.612
Iteration: 27 (200 steps) - Average rewards across episodes: 36.163 | Moving average: 33.107
Iteration: 28 (200 steps) - Average rewards across episodes: 36.882 | Moving average: 33.746
Iteration: 29 (200 steps) - Average rewards across episodes: 33.019 | Moving average: 33.734
Iteration: 30 (200 steps) - Average rewards across episodes: 36.844 | Moving average: 34.65
Iteration: 31 (200 steps) - Average rewards across episodes: 33.698 | Moving average: 34.887
Iteration: 32 (200 steps) - Average rewards across episodes: 34.671 | Moving average: 34.935
Iteration: 33 (200 steps) - Average rewards across episodes: 32.841 | Moving average: 34.912
Iteration: 34 (200 steps) - Average rewards across episodes: 33.457 | Moving average: 34.795
Iteration: 35 (200 steps) - Average rewards across episodes: 35.662 | Moving average: 34.998
Iteration: 36 (200 steps) - Average rewards across episodes: 36.573 | Moving average: 34.981
Iteration: 37 (200 steps) - Average rewards across episodes: 34.616 | Moving average: 34.826
Iteration: 38 (200 steps) - Average rewards across episodes: 34.122 | Moving average: 34.55
Iteration: 39 (200 steps) - Average rewards across episodes: 31.397 | Moving average: 34.388
Iteration: 40 (200 steps) - Average rewards across episodes: 34.567 | Moving average: 34.16
Iteration: 41 (200 steps) - Average rewards across episodes: 28.247 | Moving average: 33.615
Iteration: 42 (200 steps) - Average rewards across episodes: 29.408 | Moving average: 33.089
