Data Path: ../data-firm/json2yaml_imageresize_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/json2yaml_imageresize_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 24.553 | Moving average: 24.553
Iteration: 1 (200 steps) - Average rewards across episodes: 28.287 | Moving average: 26.42
Iteration: 2 (200 steps) - Average rewards across episodes: 29.484 | Moving average: 27.441
Iteration: 3 (200 steps) - Average rewards across episodes: 30.623 | Moving average: 28.237
Iteration: 4 (200 steps) - Average rewards across episodes: 30.222 | Moving average: 28.634
Iteration: 5 (200 steps) - Average rewards across episodes: 29.022 | Moving average: 28.699
Iteration: 6 (200 steps) - Average rewards across episodes: 31.387 | Moving average: 29.083
Iteration: 7 (200 steps) - Average rewards across episodes: 30.665 | Moving average: 29.28
Iteration: 8 (200 steps) - Average rewards across episodes: 30.58 | Moving average: 29.425
Iteration: 9 (200 steps) - Average rewards across episodes: 32.19 | Moving average: 29.701
Iteration: 10 (200 steps) - Average rewards across episodes: 31.901 | Moving average: 30.436
Iteration: 11 (200 steps) - Average rewards across episodes: 31.429 | Moving average: 30.75
Iteration: 12 (200 steps) - Average rewards across episodes: 30.312 | Moving average: 30.833
Iteration: 13 (200 steps) - Average rewards across episodes: 31.839 | Moving average: 30.955
Iteration: 14 (200 steps) - Average rewards across episodes: 31.881 | Moving average: 31.12
Iteration: 15 (200 steps) - Average rewards across episodes: 33.375 | Moving average: 31.556
Iteration: 16 (200 steps) - Average rewards across episodes: 31.641 | Moving average: 31.581
Iteration: 17 (200 steps) - Average rewards across episodes: 33.992 | Moving average: 31.914
Iteration: 18 (200 steps) - Average rewards across episodes: 36.616 | Moving average: 32.518
Iteration: 19 (200 steps) - Average rewards across episodes: 32.557 | Moving average: 32.554
Iteration: 20 (200 steps) - Average rewards across episodes: 35.334 | Moving average: 32.898
Iteration: 21 (200 steps) - Average rewards across episodes: 36.23 | Moving average: 33.378
Iteration: 22 (200 steps) - Average rewards across episodes: 37.381 | Moving average: 34.085
Iteration: 23 (200 steps) - Average rewards across episodes: 34.676 | Moving average: 34.368
Iteration: 24 (200 steps) - Average rewards across episodes: 37.906 | Moving average: 34.971
Iteration: 25 (200 steps) - Average rewards across episodes: 29.984 | Moving average: 34.632
Iteration: 26 (200 steps) - Average rewards across episodes: 31.817 | Moving average: 34.649
Iteration: 27 (200 steps) - Average rewards across episodes: 31.808 | Moving average: 34.431
Iteration: 28 (200 steps) - Average rewards across episodes: 32.307 | Moving average: 34.0
Iteration: 29 (200 steps) - Average rewards across episodes: 33.799 | Moving average: 34.124
Iteration: 30 (200 steps) - Average rewards across episodes: 30.097 | Moving average: 33.601
Iteration: 31 (200 steps) - Average rewards across episodes: 31.349 | Moving average: 33.112
Iteration: 32 (200 steps) - Average rewards across episodes: 34.612 | Moving average: 32.835
Iteration: 33 (200 steps) - Average rewards across episodes: 28.743 | Moving average: 32.242
Iteration: 34 (200 steps) - Average rewards across episodes: 35.13 | Moving average: 31.965
Iteration: 35 (200 steps) - Average rewards across episodes: 32.879 | Moving average: 32.254
Iteration: 36 (200 steps) - Average rewards across episodes: 31.94 | Moving average: 32.267
Iteration: 37 (200 steps) - Average rewards across episodes: 30.521 | Moving average: 32.138
Iteration: 38 (200 steps) - Average rewards across episodes: 18.086 | Moving average: 30.716
Iteration: 39 (200 steps) - Average rewards across episodes: 29.395 | Moving average: 30.275
Iteration: 40 (200 steps) - Average rewards across episodes: 23.867 | Moving average: 29.652
Iteration: 41 (200 steps) - Average rewards across episodes: 23.927 | Moving average: 28.91
Iteration: 42 (200 steps) - Average rewards across episodes: 20.408 | Moving average: 27.49
Iteration: 43 (200 steps) - Average rewards across episodes: 26.994 | Moving average: 27.315
Iteration: 44 (200 steps) - Average rewards across episodes: 31.39 | Moving average: 26.941
Iteration: 45 (200 steps) - Average rewards across episodes: 30.508 | Moving average: 26.704
Iteration: 46 (200 steps) - Average rewards across episodes: 28.902 | Moving average: 26.4
Iteration: 47 (200 steps) - Average rewards across episodes: 28.792 | Moving average: 26.227
Iteration: 48 (200 steps) - Average rewards across episodes: 25.243 | Moving average: 26.943
Iteration: 49 (200 steps) - Average rewards across episodes: 27.237 | Moving average: 26.727
Iteration: 50 (200 steps) - Average rewards across episodes: 29.503 | Moving average: 27.291
Iteration: 51 (200 steps) - Average rewards across episodes: 29.42 | Moving average: 27.84
Iteration: 52 (200 steps) - Average rewards across episodes: 31.011 | Moving average: 28.9
Iteration: 53 (200 steps) - Average rewards across episodes: 32.897 | Moving average: 29.49
Iteration: 54 (200 steps) - Average rewards across episodes: 33.284 | Moving average: 29.68
Iteration: 55 (200 steps) - Average rewards across episodes: 32.786 | Moving average: 29.908
Iteration: 56 (200 steps) - Average rewards across episodes: 33.704 | Moving average: 30.388
Iteration: 57 (200 steps) - Average rewards across episodes: 30.876 | Moving average: 30.596
Iteration: 58 (200 steps) - Average rewards across episodes: 34.333 | Moving average: 31.505
Iteration: 59 (200 steps) - Average rewards across episodes: 34.912 | Moving average: 32.272
Iteration: 60 (200 steps) - Average rewards across episodes: 32.704 | Moving average: 32.593
Iteration: 61 (200 steps) - Average rewards across episodes: 31.165 | Moving average: 32.767
Iteration: 62 (200 steps) - Average rewards across episodes: 33.532 | Moving average: 33.019
Iteration: 63 (200 steps) - Average rewards across episodes: 32.018 | Moving average: 32.931
Iteration: 64 (200 steps) - Average rewards across episodes: 37.938 | Moving average: 33.397
Iteration: 65 (200 steps) - Average rewards across episodes: 37.759 | Moving average: 33.894
Iteration: 66 (200 steps) - Average rewards across episodes: 37.903 | Moving average: 34.314
Iteration: 67 (200 steps) - Average rewards across episodes: 37.289 | Moving average: 34.955
Iteration: 68 (200 steps) - Average rewards across episodes: 37.329 | Moving average: 35.255
Iteration: 69 (200 steps) - Average rewards across episodes: 36.533 | Moving average: 35.417
Iteration: 70 (200 steps) - Average rewards across episodes: 38.345 | Moving average: 35.981
Iteration: 71 (200 steps) - Average rewards across episodes: 37.022 | Moving average: 36.567
Iteration: 72 (200 steps) - Average rewards across episodes: 38.851 | Moving average: 37.099
Iteration: 73 (200 steps) - Average rewards across episodes: 34.221 | Moving average: 37.319
Iteration: 74 (200 steps) - Average rewards across episodes: 37.42 | Moving average: 37.267
Iteration: 75 (200 steps) - Average rewards across episodes: 36.137 | Moving average: 37.105
Iteration: 76 (200 steps) - Average rewards across episodes: 37.866 | Moving average: 37.101
Iteration: 77 (200 steps) - Average rewards across episodes: 39.726 | Moving average: 37.345
Iteration: 78 (200 steps) - Average rewards across episodes: 38.429 | Moving average: 37.455
Iteration: 79 (200 steps) - Average rewards across episodes: 38.392 | Moving average: 37.641
Iteration: 80 (200 steps) - Average rewards across episodes: 39.247 | Moving average: 37.731
Iteration: 81 (200 steps) - Average rewards across episodes: 41.134 | Moving average: 38.142
Iteration: 82 (200 steps) - Average rewards across episodes: 39.726 | Moving average: 38.23
Iteration: 83 (200 steps) - Average rewards across episodes: 39.319 | Moving average: 38.739
Iteration: 84 (200 steps) - Average rewards across episodes: 39.761 | Moving average: 38.974
Iteration: 85 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 39.382
Iteration: 86 (200 steps) - Average rewards across episodes: 39.788 | Moving average: 39.574
Iteration: 87 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 39.623
Iteration: 88 (200 steps) - Average rewards across episodes: 39.761 | Moving average: 39.756
Iteration: 89 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 39.939
Iteration: 90 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 40.036
Iteration: 91 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 39.945
Iteration: 92 (200 steps) - Average rewards across episodes: 41.134 | Moving average: 40.086
Iteration: 93 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 40.176
Iteration: 94 (200 steps) - Average rewards across episodes: 39.761 | Moving average: 40.176
Iteration: 95 (200 steps) - Average rewards across episodes: 39.761 | Moving average: 40.13
Iteration: 96 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 40.173
Iteration: 97 (200 steps) - Average rewards across episodes: 40.219 | Moving average: 40.173
Iteration: 98 (200 steps) - Average rewards across episodes: 39.317 | Moving average: 40.128
Iteration: 99 (200 steps) - Average rewards across episodes: 39.331 | Moving average: 40.04
