Data Path: ../data-firm/matmul_imagecompress_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/matmul_imagecompress_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 26.056 | Moving average: 26.056
Iteration: 1 (200 steps) - Average rewards across episodes: 27.416 | Moving average: 26.736
Iteration: 2 (200 steps) - Average rewards across episodes: 25.023 | Moving average: 26.165
Iteration: 3 (200 steps) - Average rewards across episodes: 24.129 | Moving average: 25.656
Iteration: 4 (200 steps) - Average rewards across episodes: 27.479 | Moving average: 26.02
Iteration: 5 (200 steps) - Average rewards across episodes: 18.287 | Moving average: 24.732
Iteration: 6 (200 steps) - Average rewards across episodes: 23.708 | Moving average: 24.585
Iteration: 7 (200 steps) - Average rewards across episodes: 18.496 | Moving average: 23.824
Iteration: 8 (200 steps) - Average rewards across episodes: 14.448 | Moving average: 22.782
Iteration: 9 (200 steps) - Average rewards across episodes: 19.825 | Moving average: 22.487
Iteration: 10 (200 steps) - Average rewards across episodes: 23.673 | Moving average: 22.248
Iteration: 11 (200 steps) - Average rewards across episodes: 20.602 | Moving average: 21.567
Iteration: 12 (200 steps) - Average rewards across episodes: 22.662 | Moving average: 21.331
Iteration: 13 (200 steps) - Average rewards across episodes: 28.996 | Moving average: 21.818
Iteration: 14 (200 steps) - Average rewards across episodes: 29.34 | Moving average: 22.004
Iteration: 15 (200 steps) - Average rewards across episodes: 29.573 | Moving average: 23.132
Iteration: 16 (200 steps) - Average rewards across episodes: 33.086 | Moving average: 24.07
Iteration: 17 (200 steps) - Average rewards across episodes: 32.204 | Moving average: 25.441
Iteration: 18 (200 steps) - Average rewards across episodes: 34.813 | Moving average: 27.477
Iteration: 19 (200 steps) - Average rewards across episodes: 32.184 | Moving average: 28.713
Iteration: 20 (200 steps) - Average rewards across episodes: 34.878 | Moving average: 29.834
Iteration: 21 (200 steps) - Average rewards across episodes: 32.573 | Moving average: 31.031
Iteration: 22 (200 steps) - Average rewards across episodes: 33.907 | Moving average: 32.155
Iteration: 23 (200 steps) - Average rewards across episodes: 35.325 | Moving average: 32.788
Iteration: 24 (200 steps) - Average rewards across episodes: 34.386 | Moving average: 33.293
Iteration: 25 (200 steps) - Average rewards across episodes: 33.528 | Moving average: 33.688
Iteration: 26 (200 steps) - Average rewards across episodes: 34.889 | Moving average: 33.869
Iteration: 27 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 34.224
Iteration: 28 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 34.319
Iteration: 29 (200 steps) - Average rewards across episodes: 35.326 | Moving average: 34.634
Iteration: 30 (200 steps) - Average rewards across episodes: 34.889 | Moving average: 34.635
Iteration: 31 (200 steps) - Average rewards across episodes: 32.951 | Moving average: 34.672
Iteration: 32 (200 steps) - Average rewards across episodes: 35.715 | Moving average: 34.853
Iteration: 33 (200 steps) - Average rewards across episodes: 33.978 | Moving average: 34.719
Iteration: 34 (200 steps) - Average rewards across episodes: 34.881 | Moving average: 34.768
Iteration: 35 (200 steps) - Average rewards across episodes: 33.995 | Moving average: 34.815
Iteration: 36 (200 steps) - Average rewards across episodes: 34.443 | Moving average: 34.77
Iteration: 37 (200 steps) - Average rewards across episodes: 21.916 | Moving average: 33.386
Iteration: 38 (200 steps) - Average rewards across episodes: 20.676 | Moving average: 31.877
Iteration: 39 (200 steps) - Average rewards across episodes: 25.197 | Moving average: 30.864
Iteration: 40 (200 steps) - Average rewards across episodes: 20.887 | Moving average: 29.464
Iteration: 41 (200 steps) - Average rewards across episodes: 18.712 | Moving average: 28.04
Iteration: 42 (200 steps) - Average rewards across episodes: 24.606 | Moving average: 26.929
Iteration: 43 (200 steps) - Average rewards across episodes: 27.19 | Moving average: 26.25
Iteration: 44 (200 steps) - Average rewards across episodes: 24.358 | Moving average: 25.198
Iteration: 45 (200 steps) - Average rewards across episodes: 27.102 | Moving average: 24.509
Iteration: 46 (200 steps) - Average rewards across episodes: 29.441 | Moving average: 24.008
Iteration: 47 (200 steps) - Average rewards across episodes: 23.698 | Moving average: 24.187
Iteration: 48 (200 steps) - Average rewards across episodes: 29.423 | Moving average: 25.061
Iteration: 49 (200 steps) - Average rewards across episodes: 26.311 | Moving average: 25.173
Iteration: 50 (200 steps) - Average rewards across episodes: 25.887 | Moving average: 25.673
Iteration: 51 (200 steps) - Average rewards across episodes: 30.177 | Moving average: 26.819
Iteration: 52 (200 steps) - Average rewards across episodes: 27.702 | Moving average: 27.129
Iteration: 53 (200 steps) - Average rewards across episodes: 29.027 | Moving average: 27.312
Iteration: 54 (200 steps) - Average rewards across episodes: 28.23 | Moving average: 27.7
Iteration: 55 (200 steps) - Average rewards across episodes: 27.332 | Moving average: 27.723
Iteration: 56 (200 steps) - Average rewards across episodes: 31.665 | Moving average: 27.945
Iteration: 57 (200 steps) - Average rewards across episodes: 30.867 | Moving average: 28.662
Iteration: 58 (200 steps) - Average rewards across episodes: 32.186 | Moving average: 28.938
Iteration: 59 (200 steps) - Average rewards across episodes: 32.159 | Moving average: 29.523
Iteration: 60 (200 steps) - Average rewards across episodes: 32.557 | Moving average: 30.19
Iteration: 61 (200 steps) - Average rewards across episodes: 32.183 | Moving average: 30.391
Iteration: 62 (200 steps) - Average rewards across episodes: 31.305 | Moving average: 30.751
Iteration: 63 (200 steps) - Average rewards across episodes: 31.617 | Moving average: 31.01
Iteration: 64 (200 steps) - Average rewards across episodes: 31.806 | Moving average: 31.368
Iteration: 65 (200 steps) - Average rewards across episodes: 31.156 | Moving average: 31.75
Iteration: 66 (200 steps) - Average rewards across episodes: 32.08 | Moving average: 31.792
Iteration: 67 (200 steps) - Average rewards across episodes: 31.123 | Moving average: 31.817
Iteration: 68 (200 steps) - Average rewards across episodes: 31.994 | Moving average: 31.798
Iteration: 69 (200 steps) - Average rewards across episodes: 33.406 | Moving average: 31.923
Iteration: 70 (200 steps) - Average rewards across episodes: 32.082 | Moving average: 31.875
Iteration: 71 (200 steps) - Average rewards across episodes: 33.431 | Moving average: 32.0
Iteration: 72 (200 steps) - Average rewards across episodes: 34.375 | Moving average: 32.307
Iteration: 73 (200 steps) - Average rewards across episodes: 33.981 | Moving average: 32.543
Iteration: 74 (200 steps) - Average rewards across episodes: 33.947 | Moving average: 32.757
Iteration: 75 (200 steps) - Average rewards across episodes: 32.592 | Moving average: 32.901
Iteration: 76 (200 steps) - Average rewards across episodes: 32.186 | Moving average: 32.912
Iteration: 77 (200 steps) - Average rewards across episodes: 32.994 | Moving average: 33.099
Iteration: 78 (200 steps) - Average rewards across episodes: 33.458 | Moving average: 33.245
Iteration: 79 (200 steps) - Average rewards across episodes: 34.396 | Moving average: 33.344
Iteration: 80 (200 steps) - Average rewards across episodes: 33.489 | Moving average: 33.485
Iteration: 81 (200 steps) - Average rewards across episodes: 34.824 | Moving average: 33.624
Iteration: 82 (200 steps) - Average rewards across episodes: 36.197 | Moving average: 33.806
Iteration: 83 (200 steps) - Average rewards across episodes: 33.94 | Moving average: 33.802
Iteration: 84 (200 steps) - Average rewards across episodes: 33.042 | Moving average: 33.712
Iteration: 85 (200 steps) - Average rewards across episodes: 32.097 | Moving average: 33.662
Iteration: 86 (200 steps) - Average rewards across episodes: 34.881 | Moving average: 33.932
Iteration: 87 (200 steps) - Average rewards across episodes: 34.429 | Moving average: 34.075
Iteration: 88 (200 steps) - Average rewards across episodes: 35.702 | Moving average: 34.3
Iteration: 89 (200 steps) - Average rewards across episodes: 35.326 | Moving average: 34.393
Iteration: 90 (200 steps) - Average rewards across episodes: 35.748 | Moving average: 34.619
Iteration: 91 (200 steps) - Average rewards across episodes: 35.313 | Moving average: 34.668
Iteration: 92 (200 steps) - Average rewards across episodes: 35.326 | Moving average: 34.58
Iteration: 93 (200 steps) - Average rewards across episodes: 35.326 | Moving average: 34.719
Iteration: 94 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 34.991
Iteration: 95 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 35.357
Iteration: 96 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 35.446
Iteration: 97 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 35.579
Iteration: 98 (200 steps) - Average rewards across episodes: 35.761 | Moving average: 35.585
Iteration: 99 (200 steps) - Average rewards across episodes: 34.881 | Moving average: 35.54
