Data Path: ../data-firm/readfile_imageresize_imagerotate_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/readfile_imageresize_imagerotate_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 42.806 | Moving average: 42.806
Iteration: 1 (200 steps) - Average rewards across episodes: 47.011 | Moving average: 44.908
Iteration: 2 (200 steps) - Average rewards across episodes: 46.5 | Moving average: 45.439
Iteration: 3 (200 steps) - Average rewards across episodes: 46.265 | Moving average: 45.645
Iteration: 4 (200 steps) - Average rewards across episodes: 39.652 | Moving average: 44.447
Iteration: 5 (200 steps) - Average rewards across episodes: 44.571 | Moving average: 44.467
Iteration: 6 (200 steps) - Average rewards across episodes: 46.538 | Moving average: 44.763
Iteration: 7 (200 steps) - Average rewards across episodes: 44.663 | Moving average: 44.751
Iteration: 8 (200 steps) - Average rewards across episodes: 44.056 | Moving average: 44.673
Iteration: 9 (200 steps) - Average rewards across episodes: 45.09 | Moving average: 44.715
Iteration: 10 (200 steps) - Average rewards across episodes: 47.267 | Moving average: 45.161
Iteration: 11 (200 steps) - Average rewards across episodes: 43.682 | Moving average: 44.828
Iteration: 12 (200 steps) - Average rewards across episodes: 43.007 | Moving average: 44.479
Iteration: 13 (200 steps) - Average rewards across episodes: 47.234 | Moving average: 44.576
Iteration: 14 (200 steps) - Average rewards across episodes: 48.421 | Moving average: 45.453
Iteration: 15 (200 steps) - Average rewards across episodes: 49.87 | Moving average: 45.983
Iteration: 16 (200 steps) - Average rewards across episodes: 48.911 | Moving average: 46.22
Iteration: 17 (200 steps) - Average rewards across episodes: 46.235 | Moving average: 46.377
Iteration: 18 (200 steps) - Average rewards across episodes: 45.646 | Moving average: 46.536
Iteration: 19 (200 steps) - Average rewards across episodes: 45.839 | Moving average: 46.611
Iteration: 20 (200 steps) - Average rewards across episodes: 44.693 | Moving average: 46.354
Iteration: 21 (200 steps) - Average rewards across episodes: 43.586 | Moving average: 46.344
Iteration: 22 (200 steps) - Average rewards across episodes: 45.198 | Moving average: 46.563
Iteration: 23 (200 steps) - Average rewards across episodes: 43.618 | Moving average: 46.202
Iteration: 24 (200 steps) - Average rewards across episodes: 47.807 | Moving average: 46.14
Iteration: 25 (200 steps) - Average rewards across episodes: 43.612 | Moving average: 45.514
Iteration: 26 (200 steps) - Average rewards across episodes: 41.982 | Moving average: 44.822
Iteration: 27 (200 steps) - Average rewards across episodes: 47.207 | Moving average: 44.919
Iteration: 28 (200 steps) - Average rewards across episodes: 42.616 | Moving average: 44.616
Iteration: 29 (200 steps) - Average rewards across episodes: 41.985 | Moving average: 44.23
Iteration: 30 (200 steps) - Average rewards across episodes: 42.706 | Moving average: 44.032
Iteration: 31 (200 steps) - Average rewards across episodes: 41.951 | Moving average: 43.868
Iteration: 32 (200 steps) - Average rewards across episodes: 45.189 | Moving average: 43.867
Iteration: 33 (200 steps) - Average rewards across episodes: 45.735 | Moving average: 44.079
Iteration: 34 (200 steps) - Average rewards across episodes: 44.522 | Moving average: 43.751
Iteration: 35 (200 steps) - Average rewards across episodes: 45.526 | Moving average: 43.942
Iteration: 36 (200 steps) - Average rewards across episodes: 46.143 | Moving average: 44.358
Iteration: 37 (200 steps) - Average rewards across episodes: 46.104 | Moving average: 44.248
Iteration: 38 (200 steps) - Average rewards across episodes: 48.254 | Moving average: 44.812
