Data Path: ../data-firm/sleep_decompress_matmul_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/sleep_decompress_matmul_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 15.866 | Moving average: 15.866
Iteration: 1 (200 steps) - Average rewards across episodes: 17.455 | Moving average: 16.661
Iteration: 2 (200 steps) - Average rewards across episodes: 22.509 | Moving average: 18.61
Iteration: 3 (200 steps) - Average rewards across episodes: 22.887 | Moving average: 19.679
Iteration: 4 (200 steps) - Average rewards across episodes: 20.246 | Moving average: 19.793
Iteration: 5 (200 steps) - Average rewards across episodes: 21.376 | Moving average: 20.056
Iteration: 6 (200 steps) - Average rewards across episodes: 24.091 | Moving average: 20.633
Iteration: 7 (200 steps) - Average rewards across episodes: 22.569 | Moving average: 20.875
Iteration: 8 (200 steps) - Average rewards across episodes: 26.931 | Moving average: 21.548
Iteration: 9 (200 steps) - Average rewards across episodes: 19.372 | Moving average: 21.33
Iteration: 10 (200 steps) - Average rewards across episodes: 22.581 | Moving average: 22.002
Iteration: 11 (200 steps) - Average rewards across episodes: 19.473 | Moving average: 22.204
Iteration: 12 (200 steps) - Average rewards across episodes: 24.053 | Moving average: 22.358
Iteration: 13 (200 steps) - Average rewards across episodes: 24.853 | Moving average: 22.554
Iteration: 14 (200 steps) - Average rewards across episodes: 25.692 | Moving average: 23.099
Iteration: 15 (200 steps) - Average rewards across episodes: 24.894 | Moving average: 23.451
Iteration: 16 (200 steps) - Average rewards across episodes: 27.285 | Moving average: 23.77
Iteration: 17 (200 steps) - Average rewards across episodes: 25.753 | Moving average: 24.089
Iteration: 18 (200 steps) - Average rewards across episodes: 23.374 | Moving average: 23.733
Iteration: 19 (200 steps) - Average rewards across episodes: 26.536 | Moving average: 24.449
Iteration: 20 (200 steps) - Average rewards across episodes: 26.365 | Moving average: 24.828
Iteration: 21 (200 steps) - Average rewards across episodes: 24.005 | Moving average: 25.281
Iteration: 22 (200 steps) - Average rewards across episodes: 26.775 | Moving average: 25.553
Iteration: 23 (200 steps) - Average rewards across episodes: 27.539 | Moving average: 25.822
Iteration: 24 (200 steps) - Average rewards across episodes: 27.535 | Moving average: 26.006
Iteration: 25 (200 steps) - Average rewards across episodes: 28.842 | Moving average: 26.401
Iteration: 26 (200 steps) - Average rewards across episodes: 28.435 | Moving average: 26.516
Iteration: 27 (200 steps) - Average rewards across episodes: 27.672 | Moving average: 26.708
Iteration: 28 (200 steps) - Average rewards across episodes: 27.505 | Moving average: 27.121
Iteration: 29 (200 steps) - Average rewards across episodes: 27.502 | Moving average: 27.218
Iteration: 30 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.292
Iteration: 31 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.602
Iteration: 32 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 27.674
Iteration: 33 (200 steps) - Average rewards across episodes: 27.894 | Moving average: 27.71
Iteration: 34 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.667
Iteration: 35 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 27.533
Iteration: 36 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.4
Iteration: 37 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 27.383
Iteration: 38 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 27.382
Iteration: 39 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.342
Iteration: 40 (200 steps) - Average rewards across episodes: 27.893 | Moving average: 27.421
Iteration: 41 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.421
Iteration: 42 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.382
Iteration: 43 (200 steps) - Average rewards across episodes: 27.519 | Moving average: 27.344
Iteration: 44 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 27.344
Iteration: 45 (200 steps) - Average rewards across episodes: 27.501 | Moving average: 27.344
Iteration: 46 (200 steps) - Average rewards across episodes: 25.535 | Moving average: 27.187
Iteration: 47 (200 steps) - Average rewards across episodes: 25.943 | Moving average: 27.032
Iteration: 48 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 27.032
Iteration: 49 (200 steps) - Average rewards across episodes: 27.501 | Moving average: 27.071
Iteration: 50 (200 steps) - Average rewards across episodes: 26.321 | Moving average: 26.914
Iteration: 51 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 26.914
Iteration: 52 (200 steps) - Average rewards across episodes: 26.321 | Moving average: 26.835
Iteration: 53 (200 steps) - Average rewards across episodes: 27.105 | Moving average: 26.794
Iteration: 54 (200 steps) - Average rewards across episodes: 23.606 | Moving average: 26.444
Iteration: 55 (200 steps) - Average rewards across episodes: 24.765 | Moving average: 26.17
Iteration: 56 (200 steps) - Average rewards across episodes: 25.933 | Moving average: 26.21
Iteration: 57 (200 steps) - Average rewards across episodes: 26.327 | Moving average: 26.248
Iteration: 58 (200 steps) - Average rewards across episodes: 25.532 | Moving average: 26.052
Iteration: 59 (200 steps) - Average rewards across episodes: 26.318 | Moving average: 25.933
Iteration: 60 (200 steps) - Average rewards across episodes: 26.336 | Moving average: 25.935
Iteration: 61 (200 steps) - Average rewards across episodes: 25.929 | Moving average: 25.817
Iteration: 62 (200 steps) - Average rewards across episodes: 27.5 | Moving average: 25.935
Iteration: 63 (200 steps) - Average rewards across episodes: 26.712 | Moving average: 25.896
Iteration: 64 (200 steps) - Average rewards across episodes: 26.712 | Moving average: 26.206
Iteration: 65 (200 steps) - Average rewards across episodes: 27.106 | Moving average: 26.44
