Data Path: ../data-firm/readfile_writefile_writefile_output.csv
Model Path: None
Checkpoint Path: ./model/metappo-rnn-ep30.pth.tar
Operation: adaptation
Verbosity: False | Disable Meta-learning? False
target path is:  ../data-firm/readfile_writefile_writefile_output.csv
TCA done finally
TCA applied. Target dataset updated.
Iteration: 0 (200 steps) - Average rewards across episodes: 33.042 | Moving average: 33.042
Iteration: 1 (200 steps) - Average rewards across episodes: 31.465 | Moving average: 32.254
Iteration: 2 (200 steps) - Average rewards across episodes: 24.303 | Moving average: 29.603
Iteration: 3 (200 steps) - Average rewards across episodes: 31.435 | Moving average: 30.061
Iteration: 4 (200 steps) - Average rewards across episodes: 28.637 | Moving average: 29.776
Iteration: 5 (200 steps) - Average rewards across episodes: 30.831 | Moving average: 29.952
Iteration: 6 (200 steps) - Average rewards across episodes: 31.828 | Moving average: 30.22
Iteration: 7 (200 steps) - Average rewards across episodes: 32.248 | Moving average: 30.474
Iteration: 8 (200 steps) - Average rewards across episodes: 34.302 | Moving average: 30.899
Iteration: 9 (200 steps) - Average rewards across episodes: 33.269 | Moving average: 31.136
Iteration: 10 (200 steps) - Average rewards across episodes: 30.418 | Moving average: 30.873
Iteration: 11 (200 steps) - Average rewards across episodes: 35.862 | Moving average: 31.313
Iteration: 12 (200 steps) - Average rewards across episodes: 35.651 | Moving average: 32.448
Iteration: 13 (200 steps) - Average rewards across episodes: 31.934 | Moving average: 32.498
Iteration: 14 (200 steps) - Average rewards across episodes: 34.17 | Moving average: 33.051
Iteration: 15 (200 steps) - Average rewards across episodes: 29.694 | Moving average: 32.938
Iteration: 16 (200 steps) - Average rewards across episodes: 34.722 | Moving average: 33.227
Iteration: 17 (200 steps) - Average rewards across episodes: 33.822 | Moving average: 33.384
Iteration: 18 (200 steps) - Average rewards across episodes: 34.323 | Moving average: 33.387
Iteration: 19 (200 steps) - Average rewards across episodes: 32.149 | Moving average: 33.275
Iteration: 20 (200 steps) - Average rewards across episodes: 29.828 | Moving average: 33.216
Iteration: 21 (200 steps) - Average rewards across episodes: 33.538 | Moving average: 32.983
Iteration: 22 (200 steps) - Average rewards across episodes: 30.113 | Moving average: 32.429
Iteration: 23 (200 steps) - Average rewards across episodes: 30.712 | Moving average: 32.307
Iteration: 24 (200 steps) - Average rewards across episodes: 31.729 | Moving average: 32.063
Iteration: 25 (200 steps) - Average rewards across episodes: 29.055 | Moving average: 31.999
Iteration: 26 (200 steps) - Average rewards across episodes: 32.97 | Moving average: 31.824
Iteration: 27 (200 steps) - Average rewards across episodes: 27.955 | Moving average: 31.237
Iteration: 28 (200 steps) - Average rewards across episodes: 26.018 | Moving average: 30.407
Iteration: 29 (200 steps) - Average rewards across episodes: 32.913 | Moving average: 30.483
Iteration: 30 (200 steps) - Average rewards across episodes: 32.648 | Moving average: 30.765
Iteration: 31 (200 steps) - Average rewards across episodes: 32.247 | Moving average: 30.636
Iteration: 32 (200 steps) - Average rewards across episodes: 34.159 | Moving average: 31.041
Iteration: 33 (200 steps) - Average rewards across episodes: 30.945 | Moving average: 31.064
Iteration: 34 (200 steps) - Average rewards across episodes: 29.328 | Moving average: 30.824
Iteration: 35 (200 steps) - Average rewards across episodes: 32.499 | Moving average: 31.168
Iteration: 36 (200 steps) - Average rewards across episodes: 32.989 | Moving average: 31.17
Iteration: 37 (200 steps) - Average rewards across episodes: 33.872 | Moving average: 31.762
Iteration: 38 (200 steps) - Average rewards across episodes: 32.487 | Moving average: 32.409
Iteration: 39 (200 steps) - Average rewards across episodes: 34.962 | Moving average: 32.614
Iteration: 40 (200 steps) - Average rewards across episodes: 34.587 | Moving average: 32.808
Iteration: 41 (200 steps) - Average rewards across episodes: 34.996 | Moving average: 33.082
Iteration: 42 (200 steps) - Average rewards across episodes: 34.486 | Moving average: 33.115
Iteration: 43 (200 steps) - Average rewards across episodes: 35.743 | Moving average: 33.595
Iteration: 44 (200 steps) - Average rewards across episodes: 35.324 | Moving average: 34.194
Iteration: 45 (200 steps) - Average rewards across episodes: 35.718 | Moving average: 34.516
Iteration: 46 (200 steps) - Average rewards across episodes: 37.028 | Moving average: 34.92
Iteration: 47 (200 steps) - Average rewards across episodes: 35.756 | Moving average: 35.109
Iteration: 48 (200 steps) - Average rewards across episodes: 32.75 | Moving average: 35.135
Iteration: 49 (200 steps) - Average rewards across episodes: 35.822 | Moving average: 35.221
Iteration: 50 (200 steps) - Average rewards across episodes: 36.154 | Moving average: 35.378
Iteration: 51 (200 steps) - Average rewards across episodes: 32.257 | Moving average: 35.104
Iteration: 52 (200 steps) - Average rewards across episodes: 34.211 | Moving average: 35.076
Iteration: 53 (200 steps) - Average rewards across episodes: 30.89 | Moving average: 34.591
Iteration: 54 (200 steps) - Average rewards across episodes: 34.086 | Moving average: 34.467
Iteration: 55 (200 steps) - Average rewards across episodes: 35.009 | Moving average: 34.396
Iteration: 56 (200 steps) - Average rewards across episodes: 27.817 | Moving average: 33.475
Iteration: 57 (200 steps) - Average rewards across episodes: 31.517 | Moving average: 33.051
Iteration: 58 (200 steps) - Average rewards across episodes: 32.232 | Moving average: 32.999
Iteration: 59 (200 steps) - Average rewards across episodes: 30.699 | Moving average: 32.487
Iteration: 60 (200 steps) - Average rewards across episodes: 31.899 | Moving average: 32.062
Iteration: 61 (200 steps) - Average rewards across episodes: 26.637 | Moving average: 31.5
Iteration: 62 (200 steps) - Average rewards across episodes: 31.395 | Moving average: 31.218
Iteration: 63 (200 steps) - Average rewards across episodes: 25.19 | Moving average: 30.648
Iteration: 64 (200 steps) - Average rewards across episodes: 23.679 | Moving average: 29.607
Iteration: 65 (200 steps) - Average rewards across episodes: 26.859 | Moving average: 28.792
Iteration: 66 (200 steps) - Average rewards across episodes: 27.082 | Moving average: 28.719
Iteration: 67 (200 steps) - Average rewards across episodes: 26.68 | Moving average: 28.235
Iteration: 68 (200 steps) - Average rewards across episodes: 25.51 | Moving average: 27.563
Iteration: 69 (200 steps) - Average rewards across episodes: 30.686 | Moving average: 27.562
Iteration: 70 (200 steps) - Average rewards across episodes: 29.004 | Moving average: 27.272
Iteration: 71 (200 steps) - Average rewards across episodes: 27.852 | Moving average: 27.394
Iteration: 72 (200 steps) - Average rewards across episodes: 34.685 | Moving average: 27.723
Iteration: 73 (200 steps) - Average rewards across episodes: 32.969 | Moving average: 28.501
Iteration: 74 (200 steps) - Average rewards across episodes: 33.837 | Moving average: 29.516
Iteration: 75 (200 steps) - Average rewards across episodes: 31.842 | Moving average: 30.015
Iteration: 76 (200 steps) - Average rewards across episodes: 30.84 | Moving average: 30.391
Iteration: 77 (200 steps) - Average rewards across episodes: 33.644 | Moving average: 31.087
Iteration: 78 (200 steps) - Average rewards across episodes: 32.972 | Moving average: 31.833
Iteration: 79 (200 steps) - Average rewards across episodes: 33.386 | Moving average: 32.103
Iteration: 80 (200 steps) - Average rewards across episodes: 29.754 | Moving average: 32.178
Iteration: 81 (200 steps) - Average rewards across episodes: 29.684 | Moving average: 32.361
Iteration: 82 (200 steps) - Average rewards across episodes: 29.752 | Moving average: 31.868
Iteration: 83 (200 steps) - Average rewards across episodes: 32.61 | Moving average: 31.832
Iteration: 84 (200 steps) - Average rewards across episodes: 28.724 | Moving average: 31.321
Iteration: 85 (200 steps) - Average rewards across episodes: 31.304 | Moving average: 31.267
Iteration: 86 (200 steps) - Average rewards across episodes: 32.068 | Moving average: 31.39
Iteration: 87 (200 steps) - Average rewards across episodes: 32.959 | Moving average: 31.321
Iteration: 88 (200 steps) - Average rewards across episodes: 32.377 | Moving average: 31.262
Iteration: 89 (200 steps) - Average rewards across episodes: 32.686 | Moving average: 31.192
Iteration: 90 (200 steps) - Average rewards across episodes: 32.942 | Moving average: 31.51
Iteration: 91 (200 steps) - Average rewards across episodes: 33.883 | Moving average: 31.93
Iteration: 92 (200 steps) - Average rewards across episodes: 32.189 | Moving average: 32.174
Iteration: 93 (200 steps) - Average rewards across episodes: 31.706 | Moving average: 32.084
Iteration: 94 (200 steps) - Average rewards across episodes: 28.422 | Moving average: 32.053
Iteration: 95 (200 steps) - Average rewards across episodes: 30.429 | Moving average: 31.966
Iteration: 96 (200 steps) - Average rewards across episodes: 33.4 | Moving average: 32.099
Iteration: 97 (200 steps) - Average rewards across episodes: 33.07 | Moving average: 32.11
Iteration: 98 (200 steps) - Average rewards across episodes: 32.872 | Moving average: 32.16
Iteration: 99 (200 steps) - Average rewards across episodes: 36.233 | Moving average: 32.514
